rownames(fatty_acids_genes_expression_9423_df_mean_SD_with_description)	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
12	YBR121C	GRS1	2.80526386847549	0.171751351268157	0.420703173240502	S000000325	ORF	481364	483367	-1	2004	II	Glycyl-tRNA Synthase	2004	fatty_acids_metabolism	Fatty acids-associated genes	Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog, GRS2, that arose from the whole genome duplication; human homolog GARS implicated in Charcot-Marie-Tooth disease, can complement yeast null mutant [Source:SGD;Acc:S000000325]
13	YBR159W	IFA38	2.1022623315	0.0999498481862742	0.141350430862161	S000000363	ORF	558685	559728	1	1044	II		1044	fatty_acids_metabolism	Fatty acids-associated genes	Microsomal beta-keto-reductase; contains oleate response element (ORE) sequence in the promoter region; mutants exhibit reduced VLCFA synthesis, accumulate high levels of dihydrosphingosine, phytosphingosine and medium-chain ceramides [Source:SGD;Acc:S000000363]
14	YBR221C	PDB1	2.86217339436601	0.0922793513141783	0.226037324514765	S000000425	ORF	665153	666253	-1	1101	II	Pyruvate Dehydrogenase Beta subunit	1101	fatty_acids_metabolism	Fatty acids-associated genes	E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria [Source:SGD;Acc:S000000425]
15	YCL004W	PGS1	2.15980219394118	0	0	S000000510	ORF	109105	110670	1	1566	III	PhosphatidylGlycerolphosphate Synthase	1566	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidylglycerolphosphate synthase; catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis [Source:SGD;Acc:S000000510]
16	YCL024W	KCC4	2.01068122211765	0	0	S000000529	ORF	79162	82275	1	3114	III		3114	fatty_acids_metabolism	Fatty acids-associated genes	Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog, GIN4, that arose from the whole genome duplication [Source:SGD;Acc:S000000529]
17	YCL026C-A	FRM2	3.32977860018628	0.234343174029411	0.331411294961952	S000000589	ORF	74704	75285	-1	582	III	Fatty acid Repression Mutant	582	fatty_acids_metabolism	Fatty acids-associated genes	Type II nitroreductase, using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin [Source:SGD;Acc:S000000589]
18	YCR079W	PTC6	4.3437840064902	0.275674730686275	0.38986294294008	S000002133	ORF	252845	254173	1	1329	III	Phosphatase Two C	1329	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial type 2C protein phosphatase (PP2C); has similarity to mammalian PP1Ks; involved in mitophagy; null mutant is sensitive to rapamycin and has decreased phosphorylation of the Pda1 subunit of pyruvate dehydrogenase [Source:SGD;Acc:S000002133]
19	YDL078C	MDH3	3.11418256744118	0.114803902144855	0.281210980735306	S000002236	ORF	315357	316388	-1	1032	IV	Malate DeHydrogenase	1032	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle [Source:SGD;Acc:S000002236]
20	YDL107W	MSS2	2.51545901218137	0.141160584085809	0.345771402803471	S000002265	ORF	268921	269976	1	1056	IV	Mitochondrial Splicing	1056	fatty_acids_metabolism	Fatty acids-associated genes	Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p [Source:SGD;Acc:S000002265]
21	YDL120W	YFH1	3.04367165842484	0.181150948401727	0.443727390005474	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog FXN is mutated in Friedrich's ataxia; human FTL gene can complement yeast yfh1 null mutant [Source:SGD;Acc:S000002278]
22	YDL178W	DLD2	2.26450410160457	0.100651106484202	0.174332830268664	S000002337	ORF	139522	141114	1	1593	IV	D-Lactate Dehydrogenase	1593	fatty_acids_metabolism	Fatty acids-associated genes	D-2-hydroxyglutarate dehydrogenase, and minor D-lactate dehydrogenase; mitochondrial matrix protein that oxidizes D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate with a minor role in lactate catabolism; located in the mitochondrial matrix [Source:SGD;Acc:S000002337]
23	YDR256C	CTA1	3.20541888667034	0.280109577878204	0.792269527971918	S000002664	ORF	968133	969680	-1	1548	IV	CaTalase A	1548	fatty_acids_metabolism	Fatty acids-associated genes	Catalase A; breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1p) during fatty acid beta-oxidation [Source:SGD;Acc:S000002664]
24	YDR258C	HSP78	2.2135576594085	0.0779719713181901	0.135051415889409	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	fatty_acids_metabolism	Fatty acids-associated genes	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666]
25	YDR294C	DPL1	2.13613558364052	0.0328797255062835	0.0569493551158013	S000002702	ORF	1050459	1052228	-1	1770	IV	Dihydrosphingosine Phosphate Lyase	1770	fatty_acids_metabolism	Fatty acids-associated genes	Dihydrosphingosine phosphate lyase; regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs), degrades phosphorylated long chain bases, prefers C16 dihydrosphingosine-l-phosphate as a substrate [Source:SGD;Acc:S000002702]
26	YDR379C-A	SDH6	2.11611166637255	0.0953027676078442	0.134778466482705	S000007605	ORF	1233278	1233517	-1	240	IV		240	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; member of the LYR protein family; mutations in human ortholog SDHAF1 are associated with infantile leukoencephalopathy [Source:SGD;Acc:S000007605]
27	YDR493W	MZM1	2.0639117835	0	0	S000002901	ORF	1436217	1436588	1	372	IV	Mitochondrial Zinc Maintenance	372	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog [Source:SGD;Acc:S000002901]
28	YER015W	FAA2	2.66616424377843	0.179956942441707	0.402395956322674	S000000817	ORF	184541	186775	1	2235	V	Fatty Acid Activation	2235	fatty_acids_metabolism	Fatty acids-associated genes	Medium chain fatty acyl-CoA synthetase; activates imported fatty acids; accepts a wide range of fatty acid chain lengths with a preference for medium chains, C9:0-C13:0; localized to the peroxisome; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon [Source:SGD;Acc:S000000817]
29	YER026C	CHO1	2.5598440684951	0.109948621867647	0.155490832209458	S000000828	ORF	207644	208474	-1	831	V	CHOline requiring	831	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidylserine synthase; functions in phospholipid biosynthesis; catalyzes the reaction CDP-diaclyglycerol + L-serine = CMP + L-1-phosphatidylserine, transcriptionally repressed by myo-inositol and choline [Source:SGD;Acc:S000000828]
30	YER043C	SAH1	3.64930625830065	0.243028739956274	0.595296405724413	S000000845	ORF	235770	237119	-1	1350	V	S-Adenosyl-l-Homocysteine hydrolase	1350	fatty_acids_metabolism	Fatty acids-associated genes	S-adenosyl-L-homocysteine hydrolase; catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor; regulates cellular lipid homoeostasis by regulating phosphatidylcholine(PC)synthesis and triacylglycerol (TG) levels [Source:SGD;Acc:S000000845]
31	YER061C	CEM1	3.32192346967974	0.12360769766893	0.302775787569088	S000000863	ORF	278298	279626	-1	1329	V	Condensing Enzyme with Mitochondrial function	1329	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial beta-keto-acyl synthase; possible role in fatty acid synthesis; required for mitochondrial respiration; human homolog OXSM can complement yeast cem1 null mutant [Source:SGD;Acc:S000000863]
32	YER069W	ARG5,6	2.71792381802941	0.120148010437194	0.240296020874388	S000000871	ORF	295410	298001	1	2592	V	ARGinine requiring	2592	fatty_acids_metabolism	Fatty acids-associated genes	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine [Source:SGD;Acc:S000000871]
33	YER073W	ALD5	2.64818654821242	0.160744786400509	0.278418137097488	S000000875	ORF	304030	305592	1	1563	V	ALdehyde Dehydrogenase	1563	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed [Source:SGD;Acc:S000000875]
34	YER178W	PDA1	2.46753622311765	0.0676558504814104	0.165722311793487	S000000980	ORF	546817	548079	1	1263	V	Pyruvate Dehydrogenase Alpha	1263	fatty_acids_metabolism	Fatty acids-associated genes	E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes [Source:SGD;Acc:S000000980]
35	YFL016C	MDJ1	2.83308377770915	0.195417649204882	0.338473297118527	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	fatty_acids_metabolism	Fatty acids-associated genes	Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones [Source:SGD;Acc:S000001878]
36	YFL036W	RPO41	2.03887382460784	0	0	S000001858	ORF	58782	62837	1	4056	VI	RNA POlymerase	4056	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial RNA polymerase; single subunit enzyme similar to those of T3 and T7 bacteriophages; requires a specificity subunit encoded by MTF1 for promoter recognition; Mtf1p interacts with and stabilizes the Rpo41p-promoter complex, enhancing DNA bending and melting to facilitate pre-initiation open complex formation; Rpo41p also synthesizes RNA primers for mitochondrial DNA replication [Source:SGD;Acc:S000001858]
37	YGL018C	JAC1	2.05413970510294	0.00771086708333346	0.0109048128069065	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555	fatty_acids_metabolism	Fatty acids-associated genes	Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix [Source:SGD;Acc:S000002986]
38	YGL055W	OLE1	2.11634041508823	0.00216247142156956	0.00305819641262789	S000003023	ORF	398628	400160	1	1533	VII	OLEic acid requiring	1533	fatty_acids_metabolism	Fatty acids-associated genes	Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria [Source:SGD;Acc:S000003023]
39	YGL126W	SCS3	2.60102746688235	0.26097850769609	0.521957015392181	S000003094	ORF	270997	272139	1	1143	VII	Suppressor of Choline Sensitivity	1143	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for inositol prototrophy; required for normal ER membrane biosynthesis; ortholog of the FIT family of proteins involved in triglyceride droplet biosynthesis and homologous to human FIT2; disputed role in the synthesis of inositol phospholipids from inositol [Source:SGD;Acc:S000003094]
40	YGL144C	ROG1	2.06311603333333	0	0	S000003112	ORF	232450	234507	-1	2058	VII	Revertant Of Glycogen synthase kinase mutation	2058	fatty_acids_metabolism	Fatty acids-associated genes	Lipase with specificity for monoacylglycerol; preferred substrate is 1-oleoylglycerol; null mutation affects lipid droplet morphology and overexpression causes increased accumulation of reactive oxygen species [Source:SGD;Acc:S000003112]
41	YGL205W	POX1	2.50459344967402	0.20261964092346	0.405239281846919	S000003173	ORF	108158	110404	1	2247	VII		2247	fatty_acids_metabolism	Fatty acids-associated genes	Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix [Source:SGD;Acc:S000003173]
42	YGR037C	ACB1	3.7147508060866	0.245632831917326	0.601675102272275	S000003269	ORF	559731	559994	-1	264	VII	Acyl-CoA-Binding	264	fatty_acids_metabolism	Fatty acids-associated genes	Acyl-CoA-binding protein; transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003269]
43	YGR046W	TAM41	2.1922834190049	0.03431145634804	0.0485237269121706	S000003278	ORF	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	1158	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import, likely due to altered membrane lipid composition [Source:SGD;Acc:S000003278]
44	YGR065C	VHT1	2.3858627607451	0.0274570680784318	0.0388301580595197	S000003297	ORF	618077	619858	-1	1782	VII	Vitamin H Transporter	1782	fatty_acids_metabolism	Fatty acids-associated genes	High-affinity plasma membrane H+-biotin (vitamin H) symporter; mutation results in fatty acid auxotrophy; 12 transmembrane domain containing major facilitator subfamily member; mRNA levels negatively regulated by iron deprivation and biotin [Source:SGD;Acc:S000003297]
45	YGR157W	CHO2	2.36315622701961	0.146700685745098	0.20746609939015	S000003389	ORF	802440	805049	1	2610	VII	CHOline requiring	2610	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidylethanolamine methyltransferase (PEMT); catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis [Source:SGD;Acc:S000003389]
46	YGR207C	CIR1	2.30905186364706	0	0	S000003439	ORF	910843	911628	-1	786	VII	Changed Intracellular Redox state	786	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-beta; may have a role in oxidative stress response [Source:SGD;Acc:S000003439]
47	YGR234W	YHB1	3.35713930376797	0.125937264220619	0.308482036942582	S000003466	ORF	959904	961103	1	1200	VII	Yeast flavoHemogloBin	1200	fatty_acids_metabolism	Fatty acids-associated genes	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000003466]
48	YHL032C	GUT1	3.92758754952614	0.376672919559559	0.922656452845333	S000001024	ORF	36379	38508	-1	2130	VIII	Glycerol UTilization	2130	fatty_acids_metabolism	Fatty acids-associated genes	Glycerol kinase; converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p [Source:SGD;Acc:S000001024]
49	YHR008C	SOD2	2.19538740403921	0.121695022039213	0.172102750641148	S000001050	ORF	122889	123590	-1	702	VIII	SuperOxide Dismutase	702	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial manganese superoxide dismutase; protects cells against oxygen toxicity and oxidative stress; human mitochondrial SOD2 can complement a yeast null mutant and human cytoplasmic SOD1 can also complement when targeted to the mitochondrial matrix [Source:SGD;Acc:S000001050]
50	YHR201C	PPX1	2.51470854577451	0.165021714293231	0.330043428586462	S000001244	ORF	499950	501143	-1	1194	VIII		1194	fatty_acids_metabolism	Fatty acids-associated genes	Exopolyphosphatase; hydrolyzes inorganic polyphosphate (poly P) into Pi residues; located in the cytosol, plasma membrane, and mitochondrial matrix [Source:SGD;Acc:S000001244]
51	YIL042C	PKP1	2.88223802396405	0.168770406218694	0.292318918384816	S000001304	ORF	275108	276292	-1	1185	IX	Protein Kinase of PDH	1185	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial protein kinase; involved in negative regulation of pyruvate dehydrogenase complex activity by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp2p and phosphatases Ptc5p and Ptc6p [Source:SGD;Acc:S000001304]
52	YIL124W	AYR1	2.42830745954902	0.207915281568628	0.294036611018974	S000001386	ORF	126204	127097	1	894	IX	1-AcyldihYdroxyacetone-phosphate Reductase	894	fatty_acids_metabolism	Fatty acids-associated genes	Bifunctional triacylglycerol lipase and 1-acyl DHAP reductase; NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase involved in phosphatidic acid biosynthesis; lipid droplet triacylglycerol lipase involved in the mobilization of non-polar lipids; found in lipid particles, the endoplasmic reticulum and the mitochondrial outer membrane; required for spore germination; role in cell wall biosynthesis; capable of metabolizing steroid hormones; oleic acid inducible [Source:SGD;Acc:S000001386]
53	YIL160C	POT1	3.06916958114869	0.124201460464329	0.304230203446064	S000001422	ORF	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	1254	fatty_acids_metabolism	Fatty acids-associated genes	3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids [Source:SGD;Acc:S000001422]
54	YIR033W	MGA2	2.36953985653595	0.107887516099871	0.264269364060989	S000001472	ORF	416124	419465	1	3342	IX	Multicopy suppressor of GAm1 (snf2)	3342	fatty_acids_metabolism	Fatty acids-associated genes	ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting; MGA2 has a paralog, SPT23, that arose from the whole genome duplication [Source:SGD;Acc:S000001472]
55	YJL153C	INO1	2.67293586682843	0.117294712838226	0.234589425676452	S000003689	ORF	134332	135933	-1	1602	X	INOsitol requiring	1602	fatty_acids_metabolism	Fatty acids-associated genes	Inositol-3-phosphate synthase; involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element [Source:SGD;Acc:S000003689]
56	YJL196C	ELO1	2.51918311307843	0.230516381470588	0.325999393024876	S000003732	ORF	67850	68782	-1	933	X	ELOngation defective	933	fatty_acids_metabolism	Fatty acids-associated genes	Elongase I, medium-chain acyl elongase; catalyzes carboxy-terminal elongation of unsaturated C12-C16 fatty acyl-CoAs to C16-C18 fatty acids; ELO1 has a paralog, ELO2, that arose from the whole genome duplication [Source:SGD;Acc:S000003732]
57	YJR019C	TES1	2.16801224989706	0.0721444254799035	0.144288850959807	S000003780	ORF	467232	468281	-1	1050	X	ThioESterase	1050	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal acyl-CoA thioesterase; likely to be involved in fatty acid oxidation rather than fatty acid synthesis; conserved protein also found in human peroxisomes; TES1 mRNA levels increase during growth on fatty acids [Source:SGD;Acc:S000003780]
58	YJR045C	SSC1	2.31338444808823	0.0657463381740041	0.131492676348008	S000003806	ORF	519638	521602	-1	1965	X	Stress-Seventy subfamily C	1965	fatty_acids_metabolism	Fatty acids-associated genes	Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication [Source:SGD;Acc:S000003806]
59	YJR073C	OPI3	3.48864668219281	0.280884452507684	0.842653357523053	S000003834	ORF	572315	572935	-1	621	X	OverProducer of Inositol	621	fatty_acids_metabolism	Fatty acids-associated genes	Methylene-fatty-acyl-phospholipid synthase; catalyzes the last two steps in phosphatidylcholine biosynthesis; also known as phospholipid methyltransferase [Source:SGD;Acc:S000003834]
60	YKL055C	OAR1	2.57831453131373	0.0660190176666671	0.0933649901587495	S000001538	ORF	335321	336157	-1	837	XI	3-Oxoacyl-[Acyl-carrier-protein] Reductase	837	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase; may comprise a type II mitochondrial fatty acid synthase along with Mct1p; human homolog CBR4 complements yeast null mutant [Source:SGD;Acc:S000001538]
61	YKL085W	MDH1	2.23729044911764	0.0109760085294113	0.0155224201230162	S000001568	ORF	279123	280127	1	1005	XI	Malate DeHydrogenase	1005	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated [Source:SGD;Acc:S000001568]
62	YKL094W	YJU3	2.57943568154575	0.126137750276272	0.308973125479473	S000001577	ORF	263349	264290	1	942	XI		942	fatty_acids_metabolism	Fatty acids-associated genes	Monoglyceride lipase (MGL); functional ortholog of mammalian MGL, localizes to lipid particles and membranes, also member of the eukaryotic serine hydrolase family [Source:SGD;Acc:S000001577]
63	YKL106W	AAT1	2.71445215581372	0.0621386190686275	0.0878772778339884	S000001589	ORF	237536	238891	1	1356	XI	Aspartate AminoTransferase	1356	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial aspartate aminotransferase; catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis [Source:SGD;Acc:S000001589]
