V1	Feature	mean_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition
27	MZM1	2.0639117835	0	0	YDR493W	S000002901	ORF	1436217	1436588	1	372	IV	Mitochondrial Zinc Maintenance	372	Chaperones	Chaperone-coding genes
28	NAP1	4.52816883180719	0.0600460340063041	0.147082144393252	YKR048C	S000001756	ORF	525387	526640	-1	1254	XI	Nucleosome Assembly Protein	1254	Chaperones	Chaperone-coding genes
29	PAM16	2.30998947282353	0	0	YJL104W	S000003640	ORF	227327	227776	1	450	X	Presequence translocase-Associated Motor	450	Chaperones	Chaperone-coding genes
30	PAM18	2.18440660264706	0.118772955215685	0.167970324109153	YLR008C	S000003998	ORF	165577	166083	-1	507	XII	Presequence translocase-Associated Motor	507	Chaperones	Chaperone-coding genes
31	PET100	2.32787883963235	0.20963951589706	0.296475046590953	YDR079W	S000002486	ORF	603064	603399	1	336	IV	PETite colonies	336	Chaperones	Chaperone-coding genes
32	PFD1	2.22200820005882	0	0	YJL179W	S000003715	ORF	88787	89116	1	330	X	PreFolDin	330	Chaperones	Chaperone-coding genes
33	PHB1	2.06423411576471	0	0	YGR132C	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	Chaperones	Chaperone-coding genes
34	PHB2	3.39707611960457	0.122690589877623	0.300529341441255	YGR231C	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	Chaperones	Chaperone-coding genes
35	PIM1	2.17796005697059	0.0532023879991327	0.130318703695446	YBL022C	S000000118	ORF	177874	181275	-1	3402	II	Proteolysis In Mitochondria	3402	Chaperones	Chaperone-coding genes
36	RPL5	3.6098157537647	0.203420748333336	0.287680381161088	YPL131W	S000006052	ORF	303121	304014	1	894	XVI	Ribosomal Protein of the Large subunit	894	Chaperones	Chaperone-coding genes
37	RTT106	2.23148184060131	0.064583009687457	0.111861054084389	YNL206C	S000005150	ORF	256788	258155	-1	1368	XIV	Regulator of Ty1 Transposition	1368	Chaperones	Chaperone-coding genes
38	SBA1	5.74546769469935	0.134758936006818	0.330090631497075	YKL117W	S000001600	ORF	220324	220974	1	651	XI	increased Sensitivity to Benzoquinone Ansamycins	651	Chaperones	Chaperone-coding genes
39	SEC18	2.52209850226144	0.0681437165615491	0.166917334752639	YBR080C	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	Chaperones	Chaperone-coding genes
40	SHQ1	2.13985480327451	0	0	YIL104C	S000001366	ORF	169982	171505	-1	1524	IX	Small nucleolar RNAs of the box H/ACA family Quantitative accumulation	1524	Chaperones	Chaperone-coding genes
41	SNO4	2.82733158570261	0.264543734293434	0.647997163669326	YMR322C	S000004941	ORF	918366	919079	-1	714	XIII	SNZ proximal Open reading frame	714	Chaperones	Chaperone-coding genes
42	SSA1	3.25756355120915	0.164459035680975	0.40284072100856	YAL005C	S000000004	ORF	139503	141431	-1	1929	I	Stress-Seventy subfamily A	1929	Chaperones	Chaperone-coding genes
43	SSA2	2.36944154562745	0.123919095828732	0.214634170003361	YLL024C	S000003947	ORF	95566	97485	-1	1920	XII	Stress-Seventy subfamily A	1920	Chaperones	Chaperone-coding genes
44	SSA3	3.62885562848319	0.294675199212395	0.779637294654414	YBL075C	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	Chaperones	Chaperone-coding genes
45	SSA4	3.88725607768767	0.309254419512512	0.818210285877747	YER103W	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	Chaperones	Chaperone-coding genes
46	SSB2	2.67601577339706	0.266645324879442	0.533290649758884	YNL209W	S000005153	ORF	252059	253900	1	1842	XIV	Stress-Seventy subfamily B	1842	Chaperones	Chaperone-coding genes
47	SSC1	2.31338444808823	0.0657463381740041	0.131492676348008	YJR045C	S000003806	ORF	519638	521602	-1	1965	X	Stress-Seventy subfamily C	1965	Chaperones	Chaperone-coding genes
48	SSZ1	2.97497997266993	0.126345503066036	0.309482013807037	YHR064C	S000001106	ORF	225525	227141	-1	1617	VIII		1617	Chaperones	Chaperone-coding genes
49	SWE1	2.10652425226471	0.0612747475980395	0.0866555790841357	YJL187C	S000003723	ORF	76803	79262	-1	2460	X	Saccharomyces WEe1	2460	Chaperones	Chaperone-coding genes
50	TIM12	2.67731761880229	0.0893053403318741	0.218752515118687	YBR091C	S000000295	ORF	427155	427484	-1	330	II	Translocase of the Inner Membrane	330	Chaperones	Chaperone-coding genes
51	TIM17	2.52490039040523	0.108496656321289	0.26576144678527	YJL143W	S000003679	ORF	147101	147577	1	477	X	Translocase of the Inner Mitochondrial membrane	477	Chaperones	Chaperone-coding genes
52	TIM18	2.59537512066667	0.0202401189215671	0.0286238506829245	YOR297C	S000005823	ORF	874743	875321	-1	579	XV	Translocase of the Inner Mitochondrial membrane	579	Chaperones	Chaperone-coding genes
53	TIM54	2.80779832277124	0.122558845266941	0.300206634368722	YJL054W	S000003590	ORF	334265	335701	1	1437	X	Translocase of the Inner Mitochondrial membrane	1437	Chaperones	Chaperone-coding genes
54	TIM8	2.24253562702353	0.0786170294187475	0.17579302196942	YJR135W-A	S000007348	ORF	676971	677234	1	264	X	Translocase of the Inner Mitochondrial membrane	264	Chaperones	Chaperone-coding genes
55	TIM9	3.56013340553595	0.253869791560486	0.621851450429913	YEL020W-A	S000007256	ORF	117211	117474	1	264	V	Translocase of the Inner Mitochondrial membrane	264	Chaperones	Chaperone-coding genes
56	TMA17	4.44616435997386	0.222676318405249	0.545443357894378	YDL110C	S000002268	ORF	264512	264964	-1	453	IV	Translation Machinery Associated	453	Chaperones	Chaperone-coding genes
57	TOM6	2.74447680194608	0.189236018499879	0.463531686280581	YOR045W	S000005571	ORF	413852	414037	1	186	XV	Translocase of the Outer Mitochondrial membrane	186	Chaperones	Chaperone-coding genes
58	TOM7	2.19690438793464	0.0647495557724042	0.112149520365319	YNL070W	S000005014	ORF	493366	493548	1	183	XIV	Translocase of the Outer Mitochondrial membrane	183	Chaperones	Chaperone-coding genes
59	TSA1	2.55932673458039	0.129935835768881	0.290545361492468	YML028W	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591	Chaperones	Chaperone-coding genes
60	UMP1	3.01635714110784	0.113197490166666	0.160085425820294	YBR173C	S000000377	ORF	581726	582172	-1	447	II	Ubiquitin-Mediated Proteolysis	447	Chaperones	Chaperone-coding genes
61	VPS75	2.10376923185294	0	0	YNL246W	S000005190	ORF	185460	186349	1	890	XIV	Vacuolar Protein Sorting	890	Chaperones	Chaperone-coding genes
62	YFH1	3.04367165842484	0.181150948401727	0.443727390005474	YDL120W	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525	Chaperones	Chaperone-coding genes
63	YKE2	2.21240894709804	0.116859289470588	0.165263992058589	YLR200W	S000004190	ORF	549012	549356	1	345	XII	Yeast ortholog of mouse KE2	345	Chaperones	Chaperone-coding genes
64	YME1	2.92848321002941	0.106929991631843	0.26192391769809	YPR024W	S000006228	ORF	610481	612724	1	2244	XVI	Yeast Mitochondrial Escape	2244	Chaperones	Chaperone-coding genes
65	ZIM17	2.30834682853676	0.100740234744576	0.201480469489153	YNL310C	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	Chaperones	Chaperone-coding genes
66	GET1	2.40907988628186	0.174119710497378	0.348239420994756	YGL020C	S000002988	ORF	457163	457870	-1	708	VII	Guided Entry of Tail-anchored proteins	708	TCR_GET_complex	Proteostasis-coding genes
67	GET2	2.57978059025327	0.048830087454987	0.119608798360196	YER083C	S000000885	ORF	326174	327031	-1	858	V	Guided Entry of Tail-anchored proteins	858	TCR_GET_complex	Proteostasis-coding genes
68	GET3	3.72724858388235	0.115598163156471	0.283156514936352	YDL100C	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	TCR_GET_complex	Proteostasis-coding genes
69	GET4	2.53938939496895	0.176032523795478	0.431189861433259	YOR164C	S000005690	ORF	643394	644332	-1	939	XV	Guided Entry Tail-anchored proteins	939	TCR_GET_complex	Proteostasis-coding genes
70	HSP104	2.42522320403104	0.0996255766368742	0.244031828090883	YLL026W	S000003949	ORF	88623	91349	1	2727	XII	Heat Shock Protein	2727	TCR_GET_complex	Proteostasis-coding genes
71	SGT2	2.13723275220588	0.109824581264707	0.155315412306495	YOR007C	S000005533	ORF	338938	339978	-1	1041	XV	Small Glutamine-rich Tetratricopeptide repeat-containing protein	1041	TCR_GET_complex	Proteostasis-coding genes
72	AHA1	2.59470395679085	0.079565844329678	0.137812084926118	YDR214W	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	unfolded_protein_response	Proteostasis-coding genes
73	CPR5	5.06698196696078	0.0832388504297648	0.203892710328772	YDR304C	S000002712	ORF	1071880	1072557	-1	678	IV	Cyclosporin-sensitive Proline Rotamase	678	unfolded_protein_response	Proteostasis-coding genes
74	CPR6	2.55695362967647	0.252113374696676	0.504226749393352	YLR216C	S000004206	ORF	572096	573211	-1	1116	XII	Cyclosporin-sensitive Proline Rotamase	1116	unfolded_protein_response	Proteostasis-coding genes
75	CUR1	2.64696613403922	0	0	YPR158W	S000006362	ORF	843262	844020	1	759	XVI	Curing of [URe3]	759	unfolded_protein_response	Proteostasis-coding genes
76	EDE1	3.21214984455882	0.157036577099896	0.384659484847975	YBL047C	S000000143	ORF	127895	132040	-1	4146	II	EH Domains and Endocytosis	4146	unfolded_protein_response	Proteostasis-coding genes
77	EMP65	2.61164077477451	0.00415159645097862	0.00587124400647398	YER140W	S000000942	ORF	451565	453235	1	1671	V	ER Membrane Protein of 65 kDa	1671	unfolded_protein_response	Proteostasis-coding genes
78	ERJ5	2.28313966968628	0	0	YFR041C	S000001937	ORF	237368	238255	-1	888	VI	Endoplasmic Reticulum located J-protein	888	unfolded_protein_response	Proteostasis-coding genes
79	HCH1	3.38564531893137	0.252507850366283	0.61851538944444	YNL281W	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462	unfolded_protein_response	Proteostasis-coding genes
80	HSP26	4.41352228821008	0.446361228587043	1.18096080574257	YBR072W	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	unfolded_protein_response	Proteostasis-coding genes
81	HSP42	2.67160053133088	0.189989537293245	0.537371560698193	YDR171W	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	unfolded_protein_response	Proteostasis-coding genes
82	HSP78	2.2135576594085	0.0779719713181901	0.135051415889409	YDR258C	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	unfolded_protein_response	Proteostasis-coding genes
83	HSP82	2.25971595378431	0.100521770843138	0.142159251640127	YPL240C	S000006161	ORF	96496	98625	-1	2130	XVI	Heat Shock Protein	2130	unfolded_protein_response	Proteostasis-coding genes
84	IRC25	2.43196644249804	0.0800768487208323	0.179057277163748	YLR021W	S000004011	ORF	183623	184162	1	540	XII	Increased Recombination Centers	540	unfolded_protein_response	Proteostasis-coding genes
85	KAR2	2.95820405701961	0.0804057356528397	0.196953024742567	YJL034W	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	unfolded_protein_response	Proteostasis-coding genes
86	LNP1	2.35272995640196	0	0	YHR192W	S000001235	ORF	486826	487662	1	837	VIII	LuNaPark family member	837	unfolded_protein_response	Proteostasis-coding genes
87	MDJ1	2.83308377770915	0.195417649204882	0.338473297118527	YFL016C	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	unfolded_protein_response	Proteostasis-coding genes
88	MPD1	2.00724992570588	0	0	YOR288C	S000005814	ORF	852121	853077	-1	957	XV	Multicopy suppressor of PDI1 deletion	957	unfolded_protein_response	Proteostasis-coding genes
89	ORM2	3.94006757327124	0.10700851913849	0.26211627002015	YLR350W	S000004342	ORF	828730	829380	1	651	XII		651	unfolded_protein_response	Proteostasis-coding genes
90	OTU1	2.50505584754902	0	0	YFL044C	S000001850	ORF	44655	45560	-1	906	VI	Ovarian TUmor	906	unfolded_protein_response	Proteostasis-coding genes
91	PDI1	2.81645176891177	0.0534195109150815	0.130850544050986	YCL043C	S000000548	ORF	48653	50221	-1	1569	III	Protein Disulfide Isomerase	1569	unfolded_protein_response	Proteostasis-coding genes
92	PHB1	2.06423411576471	0	0	YGR132C	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	unfolded_protein_response	Proteostasis-coding genes
93	PHB2	3.39707611960457	0.122690589877623	0.300529341441255	YGR231C	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	unfolded_protein_response	Proteostasis-coding genes
94	PHO86	2.31838911588725	0.117514580426757	0.235029160853514	YJL117W	S000003653	ORF	192531	193466	1	936	X	PHOsphate metabolism	936	unfolded_protein_response	Proteostasis-coding genes
95	PMT1	2.48142085680882	0.00954056909313916	0.013492402204275	YDL095W	S000002253	ORF	287059	289512	1	2454	IV	Protein O-MannosylTransferase	2454	unfolded_protein_response	Proteostasis-coding genes
96	PTC2	2.23554079040784	0.0798125383056383	0.178466261108213	YER089C	S000000891	ORF	335946	337340	-1	1395	V	Phosphatase Two C	1395	unfolded_protein_response	Proteostasis-coding genes
97	RTN1	2.78340627311438	0.170456554112304	0.417531580888254	YDR233C	S000002641	ORF	929470	930357	-1	888	IV	ReTiculoN-like	888	unfolded_protein_response	Proteostasis-coding genes
98	SBA1	5.74546769469935	0.134758936006818	0.330090631497075	YKL117W	S000001600	ORF	220324	220974	1	651	XI	increased Sensitivity to Benzoquinone Ansamycins	651	unfolded_protein_response	Proteostasis-coding genes
99	SHQ1	2.13985480327451	0	0	YIL104C	S000001366	ORF	169982	171505	-1	1524	IX	Small nucleolar RNAs of the box H/ACA family Quantitative accumulation	1524	unfolded_protein_response	Proteostasis-coding genes
100	SNF1	3.12993624360784	0.0612364150980404	0.0866013687427574	YDR477W	S000002885	ORF	1412373	1414274	1	1902	IV	Sucrose NonFermenting	1902	unfolded_protein_response	Proteostasis-coding genes
101	SSA3	3.62885562848319	0.294675199212395	0.779637294654414	YBL075C	S000000171	ORF	84499	86448	-1	1950	II	Stress-Seventy subfamily A	1950	unfolded_protein_response	Proteostasis-coding genes
102	SSA4	3.88725607768767	0.309254419512512	0.818210285877747	YER103W	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	unfolded_protein_response	Proteostasis-coding genes
103	SSB2	2.67601577339706	0.266645324879442	0.533290649758884	YNL209W	S000005153	ORF	252059	253900	1	1842	XIV	Stress-Seventy subfamily B	1842	unfolded_protein_response	Proteostasis-coding genes
104	SYT1	2.626679881	0.180864424929878	0.313266373260276	YPR095C	S000006299	ORF	721037	724717	-1	3681	XVI	Suppressor of ypt3	3681	unfolded_protein_response	Proteostasis-coding genes
105	TSA1	2.55932673458039	0.129935835768881	0.290545361492468	YML028W	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591	unfolded_protein_response	Proteostasis-coding genes
106	ULI1	2.12156775853922	0.0573836943823531	0.0811527988545966	YFR026C	S000001922	ORF	205748	206257	-1	510	VI	Upr-L-Inducible gene	510	unfolded_protein_response	Proteostasis-coding genes
107	YAP1	2.26097525037255	0.0127274891568629	0.0179993877805921	YML007W	S000004466	ORF	253848	255800	1	1953	XIII	Yeast AP-1	1953	unfolded_protein_response	Proteostasis-coding genes
108	YOS9	2.39108930743627	0.145355034028932	0.290710068057863	YDR057W	S000002464	ORF	565927	567555	1	1629	IV	Yeast OS-9 homolog	1629	unfolded_protein_response	Proteostasis-coding genes
109	YPT1	3.46391483911274	0.054944344534277	0.134585608360656	YFL038C	S000001856	ORF	55366	55986	-1	621	VI	Yeast Protein Two	621	unfolded_protein_response	Proteostasis-coding genes
110	ZIM17	2.30834682853676	0.100740234744576	0.201480469489153	YNL310C	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	unfolded_protein_response	Proteostasis-coding genes
