V1	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
11	YBR080C	SEC18	2.44300123474271	0.0650282219305289	0.205637293491383	S000000284	ORF	398614	400890	-1	2277	II	SECretory	2277	Chaperones	Chaperone-coding genes	AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the 'priming' step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF) [Source:SGD;Acc:S000000284]
12	YBR091C	TIM12	2.72279593599974	0.156549337445733	0.442788392392556	S000000295	ORF	427155	427484	-1	330	II	Translocase of the Inner Membrane	330	Chaperones	Chaperone-coding genes	Essential protein of the inner mitochondrial membrane; peripherally localized; component of the TIM22 complex, which is a twin-pore translocase that mediates insertion of numerous multispanning inner membrane proteins [Source:SGD;Acc:S000000295]
13	YBR173C	UMP1	2.87216438957745	0.236595104232246	0.579537281009604	S000000377	ORF	581726	582172	-1	447	II	Ubiquitin-Mediated Proteolysis	447	Chaperones	Chaperone-coding genes	Chaperone required for correct maturation of the 20S proteasome; short-lived chaperone; may inhibit premature dimerization of proteasome half-mers; degraded by proteasome upon completion of its assembly [Source:SGD;Acc:S000000377]
14	YCL043C	PDI1	3.1153639671645	0.0678443798409265	0.21454276673894	S000000548	ORF	48653	50221	-1	1569	III	Protein Disulfide Isomerase	1569	unfolded_protein_response	Proteostasis-coding genes	Protein disulfide isomerase; multifunctional oxidoreductase of the ER lumen, essential for disulfide bond formation in secretory and cell-surface proteins, processing of non-native disulfide bonds; Ero1p activator; complexes with exomannosidase, Mnl1p to facilitate the recognition of misfolded glycoproteins and the trimming of glycan Man8GlcNAc2 to Man7GlcNAc2 on substrates, thereby accelerating ERAD; PDI1 has a paralog, EUG1, that arose from the whole genome duplication [Source:SGD;Acc:S000000548]
15	YDL095W	PMT1	2.57738542211997	0.0351707286692768	0.0497389214826355	S000002253	ORF	287059	289512	1	2454	IV	Protein O-MannosylTransferase	2454	unfolded_protein_response	Proteostasis-coding genes	Protein O-mannosyltransferase of the ER membrane; transfers mannose from dolichyl phosphate-D-mannose to protein serine and threonine residues; 1 of 7 related proteins involved in O-glycosylation which is essential for cell wall rigidity; involved in ER quality control; amino terminus faces cytoplasm, carboxyl terminus faces ER lumen [Source:SGD;Acc:S000002253]
16	YDL100C	GET3	3.71690501903508	0.125806982958823	0.397836611703869	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	Chaperones	Chaperone-coding genes	Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress [Source:SGD;Acc:S000002258]
17	YDL100C	GET3	3.71690501903508	0.125806982958823	0.397836611703869	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	TCR_GET_complex	Proteostasis-coding genes	Guanine nucleotide exchange factor for Gpa1p; amplifies G protein signaling; functions as a chaperone under ATP-depleted oxidative stress conditions; subunit of GET complex, involved in ATP dependent Golgi to ER trafficking and insertion of tail-anchored (TA) proteins into ER membrane under non-stress conditions; binds as dimer to transmembrane domain (TMD) cargo, shielding TMDs from aqueous solvent; protein abundance increases under DNA replication stress [Source:SGD;Acc:S000002258]
18	YDL110C	TMA17	4.43477820717114	0.130187885098141	0.411690240670419	S000002268	ORF	264512	264964	-1	453	IV	Translation Machinery Associated	453	Chaperones	Chaperone-coding genes	ATPase dedicated chaperone that adapts proteasome assembly to stress; Tma17p is induced upon stress; interacts with Rpt6p to assist its pairing to Rpt3p and early steps in proteasome biogenesis; associates with ribosomes; heterozygous deletion demonstrated increases in chromosome instability in a rad9 deletion background; protein abundance is decreased upon intracellular iron depletion [Source:SGD;Acc:S000002268]
19	YDL120W	YFH1	2.23624798742462	0.0594393020370867	0.168119734157678	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525	Chaperones	Chaperone-coding genes	Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog FXN is mutated in Friedrich's ataxia; human FTL gene can complement yeast yfh1 null mutant [Source:SGD;Acc:S000002278]
20	YDL204W	RTN2	2.29617172054122	0.196659328002471	0.393318656004941	S000002363	ORF	94605	95786	1	1182	IV	ReTiculoN-like	1182	unfolded_protein_response	Proteostasis-coding genes	Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; interacts with Sec6p, Yip3p, and Sbh1p; less abundant than RTN1; member of RTNLA (reticulon-like A) subfamily; protein increases in abundance and relocalizes to plasma membrane upon DNA replication stress [Source:SGD;Acc:S000002363]
21	YDR079W	PET100	2.08187721104265	0	0	S000002486	ORF	603064	603399	1	336	IV	PETite colonies	336	Chaperones	Chaperone-coding genes	Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme [Source:SGD;Acc:S000002486]
22	YDR161W	ACL4	3.06363471126712	0.0398312827442729	0.0890654558472086	S000002568	ORF	779043	780206	1	1164	IV	Assembly Chaperone of RpL4	1164	Chaperones	Chaperone-coding genes	Specific assembly chaperone for ribosomal protein Rpl4p; binds to an evolutionarily conserved surface extension of nascent Rpl4p and chaperones Rpl4p until its assembly into the pre-ribosome; transcriptionally co-regulated with rRNA and ribosome biosynthesis genes [Source:SGD;Acc:S000002568]
23	YDR171W	HSP42	2.74734170386782	0.142843989242563	0.473759915875146	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	Chaperones	Chaperone-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress [Source:SGD;Acc:S000002578]
24	YDR171W	HSP42	2.74734170386782	0.142843989242563	0.473759915875146	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	unfolded_protein_response	Proteostasis-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress [Source:SGD;Acc:S000002578]
25	YDR214W	AHA1	2.42819832424933	0.111867730197213	0.316409722473584	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	Chaperones	Chaperone-coding genes	Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002622]
26	YDR214W	AHA1	2.42819832424933	0.111867730197213	0.316409722473584	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	unfolded_protein_response	Proteostasis-coding genes	Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002622]
27	YDR233C	RTN1	2.84875663280446	0.131476184398223	0.415764200766679	S000002641	ORF	929470	930357	-1	888	IV	ReTiculoN-like	888	unfolded_protein_response	Proteostasis-coding genes	Reticulon protein; involved in nuclear pore assembly and maintenance of tubular ER morphology; promotes membrane curvature; regulates the ER asymmetry-induced inheritance block during ER stress; role in ER-derived peroxisomal biogenesis; increases tubular ER when overexpressed; mutants have reduced phosphatidylserine transfer between the ER and mitochondria; interacts with exocyst subunit Sec6p, Yip3p, and Sbh1p; member of the RTNLA subfamily [Source:SGD;Acc:S000002641]
28	YDR258C	HSP78	2.10601457079831	0.0693109083610253	0.0980204266245607	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	Chaperones	Chaperone-coding genes	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666]
29	YDR258C	HSP78	2.10601457079831	0.0693109083610253	0.0980204266245607	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	unfolded_protein_response	Proteostasis-coding genes	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666]
30	YDR304C	CPR5	5.4025777000537	0.10384795231711	0.328396059666626	S000002712	ORF	1071880	1072557	-1	678	IV	Cyclosporin-sensitive Proline Rotamase	678	unfolded_protein_response	Proteostasis-coding genes	Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the ER; catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER; CPR5 has a paralog, CPR2, that arose from the whole genome duplication [Source:SGD;Acc:S000002712]
31	YDR375C	BCS1	2.34775112816537	0.0726091494255018	0.229610291152092	S000002783	ORF	1225166	1226536	-1	1371	IV	ubiquinol-cytochrome c reductase (bc1) Synthesis	1371	Chaperones	Chaperone-coding genes	Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane and delivers it to an assembly intermediate of respiratory Complex III; also required for assembly of the Qcr10p subunit; mutation is functionally complemented by human homolog BCS1L, linked to neonatal diseases [Source:SGD;Acc:S000002783]
32	YDR493W	MZM1	2.21791813417549	0.123115120930546	0.275293779458809	S000002901	ORF	1436217	1436588	1	372	IV	Mitochondrial Zinc Maintenance	372	Chaperones	Chaperone-coding genes	Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog [Source:SGD;Acc:S000002901]
33	YEL020W-A	TIM9	3.58956781781308	0.0563767800762208	0.126062312602985	S000007256	ORF	117211	117474	1	264	V	Translocase of the Inner Mitochondrial membrane	264	Chaperones	Chaperone-coding genes	Essential protein of the mitochondrial intermembrane space; forms a complex with Tim10p (TIM10 complex) that delivers hydrophobic proteins to the TIM22 complex for insertion into the inner membrane [Source:SGD;Acc:S000007256]
34	YEL030W	ECM10	2.44026497820824	0.177797075415633	0.470406845384361	S000000756	ORF	94644	96578	1	1935	V	ExtraCellular Mutant	1935	Chaperones	Chaperone-coding genes	Heat shock protein of the Hsp70 family; localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations; ECM10 has a paralog, SSC1, that arose from the whole genome duplication [Source:SGD;Acc:S000000756]
35	YEL052W	AFG1	2.2640471961387	0.0631505229359899	0.16708057885231	S000000778	ORF	56571	58100	1	1530	V	ATPase Family Gene	1530	Chaperones	Chaperone-coding genes	Protein that may act as a chaperone for cytochrome c oxidase subunits; conserved protein; may act as a chaperone in the degradation of misfolded or unassembled cytochrome c oxidase subunits; localized to matrix face of the mitochondrial inner membrane; member of the AAA family but lacks a protease domain [Source:SGD;Acc:S000000778]
36	YER017C	AFG3	3.34764242862726	0.0892379175589696	0.282195073136677	S000000819	ORF	189503	191788	-1	2286	V	ATPase Family Gene	2286	Chaperones	Chaperone-coding genes	Mitochondrial inner membrane m-AAA protease component; mediates degradation of misfolded or unassembled proteins; also required for correct assembly of mitochondrial enzyme complexes; involved in cytoplasmic mRNA translation and aging; expression of human homolog AFG3L2 can complement yeast yta12 afg3 double mutant [Source:SGD;Acc:S000000819]
37	YER083C	GET2	2.8265860287931	0.0944993676275207	0.298833239148548	S000000885	ORF	326174	327031	-1	858	V	Guided Entry of Tail-anchored proteins	858	TCR_GET_complex	Proteostasis-coding genes	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division [Source:SGD;Acc:S000000885]
38	YER089C	PTC2	4.97337019716876	0.0972821112083826	0.307633047008284	S000000891	ORF	335946	337340	-1	1395	V	Phosphatase Two C	1395	unfolded_protein_response	Proteostasis-coding genes	Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p to limit maximal osmostress induced kinase activity; dephosphorylates Ire1p to downregulate the unfolded protein response; dephosphorylates Cdc28p; inactivates the DNA damage checkpoint; PTC2 has a paralog, PTC3, that arose from the whole genome duplication [Source:SGD;Acc:S000000891]
39	YER103W	SSA4	4.92360455751899	0.403869206023865	1.45617113089997	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	Chaperones	Chaperone-coding genes	Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication [Source:SGD;Acc:S000000905]
40	YER103W	SSA4	4.92360455751899	0.403869206023865	1.45617113089997	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	unfolded_protein_response	Proteostasis-coding genes	Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication [Source:SGD;Acc:S000000905]
41	YFL016C	MDJ1	2.94110635405822	0.140429483889533	0.314009872022208	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	Chaperones	Chaperone-coding genes	Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones [Source:SGD;Acc:S000001878]
42	YFL016C	MDJ1	2.94110635405822	0.140429483889533	0.314009872022208	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	unfolded_protein_response	Proteostasis-coding genes	Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones [Source:SGD;Acc:S000001878]
43	YFL031W	HAC1	5.17869008040908	0.210298995249093	0.364248544552114	S000001863	ORF	75179	76147	1	969	VI	Homologous to Atf/Creb1	969	unfolded_protein_response	Proteostasis-coding genes	Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog); regulates the unfolded protein response, via UPRE binding, and membrane biogenesis; ER stress-induced splicing pathway facilitates efficient Hac1p synthesis; two functional forms of Hac1p are produced; translation initiation is repressed under non-stress conditions; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001863]
44	YFL038C	YPT1	3.19260764594805	0.0545080926506714	0.172369723687606	S000001856	ORF	55366	55986	-1	621	VI	Yeast Protein Two	621	unfolded_protein_response	Proteostasis-coding genes	Rab family GTPase; involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by type II protein geranylgeranyltransferase (Bet2p-Bet4p); binds to unspliced HAC1 mRNA; regulates the unfolded protein response (UPR) by promoting the decay of HAC1 RNA; localizes to the early Golgi, the transitional Golgi and ER membranes, pre-autophagosomal structures, and cytoplasmic vesicles [Source:SGD;Acc:S000001856]
45	YFL044C	OTU1	2.24172759913097	0.133610097911015	0.23141947798613	S000001850	ORF	44655	45560	-1	906	VI	Ovarian TUmor	906	unfolded_protein_response	Proteostasis-coding genes	Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p; may contribute to regulation of protein degradation by deubiquitylating substrates that have been ubiquitylated by Ufd2p; member of the Ovarian Tumor (OTU) family; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001850]
46	YGL018C	JAC1	2.03573152889022	0.0175531164302331	0.0304028894883358	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555	Chaperones	Chaperone-coding genes	Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix [Source:SGD;Acc:S000002986]
47	YGL020C	GET1	2.43625954771675	0.146716101275325	0.359379585175045	S000002988	ORF	457163	457870	-1	708	VII	Guided Entry of Tail-anchored proteins	708	TCR_GET_complex	Proteostasis-coding genes	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance [Source:SGD;Acc:S000002988]
48	YGR132C	PHB1	2.44320336804172	0.121290083628832	0.210080587299415	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	Chaperones	Chaperone-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003364]
49	YGR132C	PHB1	2.44320336804172	0.121290083628832	0.210080587299415	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	unfolded_protein_response	Proteostasis-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003364]
50	YGR181W	TIM13	2.01917932060937	0	0	S000003413	ORF	858287	858604	1	318	VII	Translocase of the Inner Mitochondrial membrane	318	Chaperones	Chaperone-coding genes	Mitochondrial intermembrane space protein; forms a complex with Tim8p that delivers a subset of hydrophobic proteins to the TIM22 complex for insertion into the inner membrane [Source:SGD;Acc:S000003413]
51	YGR231C	PHB2	3.11194335266314	0.121083985201072	0.382901181405509	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	Chaperones	Chaperone-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003463]
52	YGR231C	PHB2	3.11194335266314	0.121083985201072	0.382901181405509	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	unfolded_protein_response	Proteostasis-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003463]
53	YHR030C	SLT2	2.43569967830577	0.103803571282786	0.207607142565572	S000001072	ORF	168890	170344	-1	1455	VIII	Suppressor of the LyTic phenotype	1455	unfolded_protein_response	Proteostasis-coding genes	Serine/threonine MAP kinase; coordinates expression of all 19S regulatory particle assembly-chaperones (RACs) to control proteasome abundance; involved in regulating maintenance of cell wall integrity, cell cycle progression, nuclear mRNA retention in heat shock, septum assembly; required for mitophagy, pexophagy; affects recruitment of mitochondria to phagophore assembly site; plays role in adaptive response of cells to cold; regulated by the PKC1-mediated signaling pathway [Source:SGD;Acc:S000001072]
54	YHR064C	SSZ1	2.88483110954954	0.060029751371786	0.189830741708461	S000001106	ORF	225525	227141	-1	1617	VIII		1617	Chaperones	Chaperone-coding genes	Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP [Source:SGD;Acc:S000001106]
55	YJL034W	KAR2	2.65270423357346	0.0824235261919476	0.247270578575843	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	Chaperones	Chaperone-coding genes	ATPase involved in protein import into the ER; also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p [Source:SGD;Acc:S000003571]
56	YJL034W	KAR2	2.65270423357346	0.0824235261919476	0.247270578575843	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	unfolded_protein_response	Proteostasis-coding genes	ATPase involved in protein import into the ER; also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p [Source:SGD;Acc:S000003571]
57	YJL054W	TIM54	2.47805417848213	0.0622359444669633	0.196807336847358	S000003590	ORF	334265	335701	1	1437	X	Translocase of the Inner Mitochondrial membrane	1437	Chaperones	Chaperone-coding genes	Component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane [Source:SGD;Acc:S000003590]
58	YJL095W	BCK1	2.48880890224232	0.13245495285081	0.324447048388888	S000003631	ORF	247255	251691	1	4437	X	Bypass of C Kinase	4437	unfolded_protein_response	Proteostasis-coding genes	MAPKKK acting in the protein kinase C signaling pathway; the kinase C signaling pathway controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p; MAPKKK is an acronym for mitogen-activated protein (MAP) kinase kinase kinase [Source:SGD;Acc:S000003631]
59	YJL104W	PAM16	2.03779914774646	0	0	S000003640	ORF	227327	227776	1	450	X	Presequence translocase-Associated Motor	450	Chaperones	Chaperone-coding genes	Subunit of the import motor (PAM complex); the PAM complex is a component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains a J-like domain [Source:SGD;Acc:S000003640]
60	YJL117W	PHO86	2.12641067642041	0.0406368233158064	0.0703850426411763	S000003653	ORF	192531	193466	1	936	X	PHOsphate metabolism	936	unfolded_protein_response	Proteostasis-coding genes	Endoplasmic reticulum (ER) resident protein; required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003653]
61	YJL143W	TIM17	2.07943631635628	0.0751088952187291	0.106220018273186	S000003679	ORF	147101	147577	1	477	X	Translocase of the Inner Mitochondrial membrane	477	Chaperones	Chaperone-coding genes	Essential component of the TIM23 complex; with Tim23p, contributes to the architecture and function of the import channel; may link the import motor to the core Translocase of the Inner Mitochondrial membrane (TIM23 complex) [Source:SGD;Acc:S000003679]
