rownames(fatty_acids_genes_expression_10205_16376_df_mean_SD_with_description)	Genes	Feature	mean_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
12	YDL107W	MSS2	2.59179903844279	0.192175338741521	0.508448154429661	S000002265	ORF	268921	269976	1	1056	IV	Mitochondrial Splicing	1056	fatty_acids_metabolism	Fatty acids-associated genes	Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p [Source:SGD;Acc:S000002265]
13	YDL120W	YFH1	2.23624798742462	0.0594393020370867	0.168119734157678	S000002278	ORF	245923	246447	1	525	IV	Yeast Frataxin Homolog	525	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog FXN is mutated in Friedrich's ataxia; human FTL gene can complement yeast yfh1 null mutant [Source:SGD;Acc:S000002278]
14	YDL178W	DLD2	2.46817655934829	0.036382073354966	0.0727641467099321	S000002337	ORF	139522	141114	1	1593	IV	D-Lactate Dehydrogenase	1593	fatty_acids_metabolism	Fatty acids-associated genes	D-2-hydroxyglutarate dehydrogenase, and minor D-lactate dehydrogenase; mitochondrial matrix protein that oxidizes D-2-hydroxyglutarate (D-2HG), an oncometabolite, to alpha-ketoglutarate with a minor role in lactate catabolism; located in the mitochondrial matrix [Source:SGD;Acc:S000002337]
15	YDR123C	INO2	2.92264625099086	0.281398338806967	0.629225814327895	S000002530	ORF	698554	699468	-1	915	IV	INOsitol requiring	915	fatty_acids_metabolism	Fatty acids-associated genes	Transcription factor; component of the heteromeric Ino2p/Ino4p basic helix-loop-helix transcription activator that binds inositol/choline-responsive elements (ICREs), required for derepression of phospholipid biosynthetic genes in response to inositol depletion; involved in diauxic shift [Source:SGD;Acc:S000002530]
16	YDR216W	ADR1	2.20299939496589	0.116154907159738	0.201186200749112	S000002624	ORF	895035	899006	1	3972	IV	Alcohol Dehydrogenase II synthesis Regulator	3972	fatty_acids_metabolism	Fatty acids-associated genes	Carbon source-responsive zinc-finger transcription factor; required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization [Source:SGD;Acc:S000002624]
17	YDR232W	HEM1	2.07047979538249	0	0	S000002640	ORF	927452	929098	1	1647	IV	HEMe biosynthesis	1647	fatty_acids_metabolism	Fatty acids-associated genes	5-aminolevulinate synthase; catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p; has a pyridoxal phosphate cofactor whose insertion is mediated by Mcx1p [Source:SGD;Acc:S000002640]
18	YDR256C	CTA1	3.38515673020536	0.222429377901961	0.832254524862403	S000002664	ORF	968133	969680	-1	1548	IV	CaTalase A	1548	fatty_acids_metabolism	Fatty acids-associated genes	Catalase A; breaks down hydrogen peroxide in the peroxisomal matrix formed by acyl-CoA oxidase (Pox1p) during fatty acid beta-oxidation [Source:SGD;Acc:S000002664]
19	YDR258C	HSP78	2.10601457079831	0.0693109083610253	0.0980204266245607	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	fatty_acids_metabolism	Fatty acids-associated genes	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666]
20	YDR294C	DPL1	2.44202516368655	0.0960362921330553	0.21474367751654	S000002702	ORF	1050459	1052228	-1	1770	IV	Dihydrosphingosine Phosphate Lyase	1770	fatty_acids_metabolism	Fatty acids-associated genes	Dihydrosphingosine phosphate lyase; regulates intracellular levels of sphingolipid long-chain base phosphates (LCBPs), degrades phosphorylated long chain bases, prefers C16 dihydrosphingosine-l-phosphate as a substrate [Source:SGD;Acc:S000002702]
21	YDR493W	MZM1	2.21791813417549	0.123115120930546	0.275293779458809	S000002901	ORF	1436217	1436588	1	372	IV	Mitochondrial Zinc Maintenance	372	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog [Source:SGD;Acc:S000002901]
22	YDR511W	SDH7	2.00497488158249	0	0	S000002919	ORF	1470017	1470418	1	402	IV	Succinate DeHydrogenase	402	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial protein involved in assembly of succinate dehydrogenase; has a role in maturation of the Sdh2p subunit; localized to the mitochondrial intermembrane space; required for acetate utilization and gluconeogenesis; mutation in Drosophila ortholog SDHAF3 causes reduced succinate dehydrogenase activity and neuronal and muscular dysfunction; member of the LYR protein family [Source:SGD;Acc:S000002919]
23	YER015W	FAA2	3.42813488937008	0.237488711846155	0.822685030283249	S000000817	ORF	184541	186775	1	2235	V	Fatty Acid Activation	2235	fatty_acids_metabolism	Fatty acids-associated genes	Medium chain fatty acyl-CoA synthetase; activates imported fatty acids; accepts a wide range of fatty acid chain lengths with a preference for medium chains, C9:0-C13:0; localized to the peroxisome; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon [Source:SGD;Acc:S000000817]
24	YER026C	CHO1	2.06395395329883	0.00883227166287695	0.0216345588436916	S000000828	ORF	207644	208474	-1	831	V	CHOline requiring	831	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidylserine synthase; functions in phospholipid biosynthesis; catalyzes the reaction CDP-diaclyglycerol + L-serine = CMP + L-1-phosphatidylserine, transcriptionally repressed by myo-inositol and choline [Source:SGD;Acc:S000000828]
25	YER043C	SAH1	4.4755109450865	0.153100798442496	0.484147234668648	S000000845	ORF	235770	237119	-1	1350	V	S-Adenosyl-l-Homocysteine hydrolase	1350	fatty_acids_metabolism	Fatty acids-associated genes	S-adenosyl-L-homocysteine hydrolase; catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor; regulates cellular lipid homoeostasis by regulating phosphatidylcholine(PC)synthesis and triacylglycerol (TG) levels [Source:SGD;Acc:S000000845]
26	YER058W	PET117	2.5245694484326	0.0299905414621426	0.0599810829242852	S000000860	ORF	271768	272091	1	324	V	PETite colonies	324	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for assembly of cytochrome c oxidase [Source:SGD;Acc:S000000860]
27	YER061C	CEM1	4.13166342138876	0.182335156932385	0.576594393430578	S000000863	ORF	278298	279626	-1	1329	V	Condensing Enzyme with Mitochondrial function	1329	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial beta-keto-acyl synthase; possible role in fatty acid synthesis; required for mitochondrial respiration; human homolog OXSM can complement yeast cem1 null mutant [Source:SGD;Acc:S000000863]
28	YER069W	ARG5,6	3.61516091504099	0.222333091836456	0.666999275509368	S000000871	ORF	295410	298001	1	2592	V	ARGinine requiring	2592	fatty_acids_metabolism	Fatty acids-associated genes	Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase; N-acetyl-L-glutamate kinase (NAGK) catalyzes the 2nd and N-acetyl-gamma-glutamyl-phosphate reductase (NAGSA), the 3rd step in arginine biosynthesis; synthesized as a precursor which is processed in the mitochondrion to yield mature NAGK and NAGSA; enzymes form a metabolon complex with Arg2p; NAGK C-terminal domain stabilizes the enzymes, slows catalysis and is involved in feed-back inhibition by arginine [Source:SGD;Acc:S000000871]
29	YER073W	ALD5	2.21578204503505	0.0556433285092123	0.0963770720802015	S000000875	ORF	304030	305592	1	1563	V	ALdehyde Dehydrogenase	1563	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed [Source:SGD;Acc:S000000875]
30	YER178W	PDA1	2.76876836266872	0.0994862819632372	0.314603246945557	S000000980	ORF	546817	548079	1	1263	V	Pyruvate Dehydrogenase Alpha	1263	fatty_acids_metabolism	Fatty acids-associated genes	E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes [Source:SGD;Acc:S000000980]
31	YFL016C	MDJ1	2.94110635405822	0.140429483889533	0.314009872022208	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	fatty_acids_metabolism	Fatty acids-associated genes	Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones [Source:SGD;Acc:S000001878]
32	YFL018C	LPD1	2.12297022079493	0.03502424287168	0.0495317592809791	S000001876	ORF	101628	103127	-1	1500	VI	LiPoamide Dehydrogenase	1500	fatty_acids_metabolism	Fatty acids-associated genes	Dihydrolipoamide dehydrogenase; the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes; LPD1 has a paralog, IRC15, that arose from the whole genome duplication [Source:SGD;Acc:S000001876]
33	YGL018C	JAC1	2.03573152889022	0.0175531164302331	0.0304028894883358	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555	fatty_acids_metabolism	Fatty acids-associated genes	Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix [Source:SGD;Acc:S000002986]
34	YGL055W	OLE1	2.13048456894825	0.039827319217814	0.0689829404145182	S000003023	ORF	398628	400160	1	1533	VII	OLEic acid requiring	1533	fatty_acids_metabolism	Fatty acids-associated genes	Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria [Source:SGD;Acc:S000003023]
35	YGL126W	SCS3	2.56184668527584	0.182980943931914	0.409157829218836	S000003094	ORF	270997	272139	1	1143	VII	Suppressor of Choline Sensitivity	1143	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for inositol prototrophy; required for normal ER membrane biosynthesis; ortholog of the FIT family of proteins involved in triglyceride droplet biosynthesis and homologous to human FIT2; disputed role in the synthesis of inositol phospholipids from inositol [Source:SGD;Acc:S000003094]
36	YGL205W	POX1	2.52594102456434	0.153083017461557	0.342304033244829	S000003173	ORF	108158	110404	1	2247	VII		2247	fatty_acids_metabolism	Fatty acids-associated genes	Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix [Source:SGD;Acc:S000003173]
37	YGR037C	ACB1	3.86673544663907	0.118455253394664	0.374588401539529	S000003269	ORF	559731	559994	-1	264	VII	Acyl-CoA-Binding	264	fatty_acids_metabolism	Fatty acids-associated genes	Acyl-CoA-binding protein; transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes; subject to starvation-induced, Grh1p-mediated unconventional secretion; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003269]
38	YGR046W	TAM41	2.47349570483507	0	0	S000003278	ORF	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	1158	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial phosphatidate cytidylyltransferase (CDP-DAG synthase); required for cardiolipin biosynthesis; viability of null mutant is strain-dependent; mRNA is targeted to the bud; mutant displays defect in mitochondrial protein import, likely due to altered membrane lipid composition [Source:SGD;Acc:S000003278]
39	YGR157W	CHO2	2.66762262959942	0.16631222528263	0.371885441221221	S000003389	ORF	802440	805049	1	2610	VII	CHOline requiring	2610	fatty_acids_metabolism	Fatty acids-associated genes	Phosphatidylethanolamine methyltransferase (PEMT); catalyzes the first step in the conversion of phosphatidylethanolamine to phosphatidylcholine during the methylation pathway of phosphatidylcholine biosynthesis [Source:SGD;Acc:S000003389]
40	YGR202C	PCT1	2.18732476563701	0.0667575482934765	0.133515096586953	S000003434	ORF	903474	904748	-1	1275	VII	Phosphocholine CytidylylTransferase	1275	fatty_acids_metabolism	Fatty acids-associated genes	Cholinephosphate cytidylyltransferase; a rate-determining enzyme of the CDP-choline pathway for phosphatidylcholine synthesis, inhibited by Sec14p, activated upon lipid-binding; contains an element within the regulatory domain involved in both silencing and activation of enzymatic activity [Source:SGD;Acc:S000003434]
41	YGR207C	CIR1	2.52323729008953	0.13572282684351	0.359088847062609	S000003439	ORF	910843	911628	-1	786	VII	Changed Intracellular Redox state	786	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial protein that interacts with frataxin (Yfh1p); putative ortholog of mammalian electron transfer flavoprotein complex subunit ETF-beta; may have a role in oxidative stress response [Source:SGD;Acc:S000003439]
42	YGR234W	YHB1	3.53394005753929	0.201415736212267	0.636932483030419	S000003466	ORF	959904	961103	1	1200	VII	Yeast flavoHemogloBin	1200	fatty_acids_metabolism	Fatty acids-associated genes	Nitric oxide oxidoreductase; flavohemoglobin that plays role in oxidative and nitrosative stress responses; protects against nitration of cellular targets and against cell growth inhibition under aerobic or anaerobic conditions; yeast flavohemoglobin Yhb1p and human homolog neuroglobin NGB protect cells against alpha-synuclein cytotoxicity and aggregate formation; protein increases in abundance, relocalizes from nucleus to cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000003466]
43	YHL032C	GUT1	4.2184086849206	0.282091528839612	0.935591757698711	S000001024	ORF	36379	38508	-1	2130	VIII	Glycerol UTilization	2130	fatty_acids_metabolism	Fatty acids-associated genes	Glycerol kinase; converts glycerol to glycerol-3-phosphate; glucose repression of expression is mediated by Adr1p and Ino2p-Ino4p; derepression of expression on non-fermentable carbon sources is mediated by Opi1p and Rsf1p [Source:SGD;Acc:S000001024]
44	YHR008C	SOD2	2.17838343552232	0.077589533291092	0.134389013795728	S000001050	ORF	122889	123590	-1	702	VIII	SuperOxide Dismutase	702	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial manganese superoxide dismutase; protects cells against oxygen toxicity and oxidative stress; human mitochondrial SOD2 can complement a yeast null mutant and human cytoplasmic SOD1 can also complement when targeted to the mitochondrial matrix [Source:SGD;Acc:S000001050]
45	YHR201C	PPX1	2.37174025935373	0.0493885753511414	0.0987771507022827	S000001244	ORF	499950	501143	-1	1194	VIII		1194	fatty_acids_metabolism	Fatty acids-associated genes	Exopolyphosphatase; hydrolyzes inorganic polyphosphate (poly P) into Pi residues; located in the cytosol, plasma membrane, and mitochondrial matrix [Source:SGD;Acc:S000001244]
46	YIL042C	PKP1	2.72757792690161	0.158912388801012	0.420442661014684	S000001304	ORF	275108	276292	-1	1185	IX	Protein Kinase of PDH	1185	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial protein kinase; involved in negative regulation of pyruvate dehydrogenase complex activity by phosphorylating the ser-133 residue of the Pda1p subunit; acts in concert with kinase Pkp2p and phosphatases Ptc5p and Ptc6p [Source:SGD;Acc:S000001304]
47	YIL160C	POT1	3.44823864520861	0.183273083572528	0.579560377891579	S000001422	ORF	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	1254	fatty_acids_metabolism	Fatty acids-associated genes	3-ketoacyl-CoA thiolase with broad chain length specificity; cleaves 3-ketoacyl-CoA into acyl-CoA and acetyl-CoA during beta-oxidation of fatty acids [Source:SGD;Acc:S000001422]
48	YIR033W	MGA2	2.5070587570719	0.0891595243712269	0.295708688825908	S000001472	ORF	416124	419465	1	3342	IX	Multicopy suppressor of GAm1 (snf2)	3342	fatty_acids_metabolism	Fatty acids-associated genes	ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting; MGA2 has a paralog, SPT23, that arose from the whole genome duplication [Source:SGD;Acc:S000001472]
49	YJL153C	INO1	2.8339858020739	0.0891587956739072	0.308855128097719	S000003689	ORF	134332	135933	-1	1602	X	INOsitol requiring	1602	fatty_acids_metabolism	Fatty acids-associated genes	Inositol-3-phosphate synthase; involved in synthesis of inositol phosphates and inositol-containing phospholipids; transcription is coregulated with other phospholipid biosynthetic genes by Ino2p and Ino4p, which bind the UASINO DNA element [Source:SGD;Acc:S000003689]
50	YJR019C	TES1	2.45467253271946	0.0290905028847528	0.0581810057695057	S000003780	ORF	467232	468281	-1	1050	X	ThioESterase	1050	fatty_acids_metabolism	Fatty acids-associated genes	Peroxisomal acyl-CoA thioesterase; likely to be involved in fatty acid oxidation rather than fatty acid synthesis; conserved protein also found in human peroxisomes; TES1 mRNA levels increase during growth on fatty acids [Source:SGD;Acc:S000003780]
51	YJR073C	OPI3	3.47424149654242	0.197894669347303	0.740454051366522	S000003834	ORF	572315	572935	-1	621	X	OverProducer of Inositol	621	fatty_acids_metabolism	Fatty acids-associated genes	Methylene-fatty-acyl-phospholipid synthase; catalyzes the last two steps in phosphatidylcholine biosynthesis; also known as phospholipid methyltransferase [Source:SGD;Acc:S000003834]
52	YKL020C	SPT23	2.08053930821329	0	0	S000001503	ORF	398832	402080	-1	3249	XI	SuPpressor of Ty	3249	fatty_acids_metabolism	Fatty acids-associated genes	ER membrane protein involved in regulation of OLE1 transcription; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting; SPT23 has a paralog, MGA2, that arose from the whole genome duplication [Source:SGD;Acc:S000001503]
53	YKL029C	MAE1	3.26452187636012	0.193015290368686	0.386030580737371	S000001512	ORF	382716	384725	-1	2010	XI	MAlic Enzyme	2010	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial malic enzyme; catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids [Source:SGD;Acc:S000001512]
54	YKL040C	NFU1	2.45254566829452	0.201754037935418	0.451135743558667	S000001523	ORF	361058	361828	-1	771	XI	NifU-like protein	771	fatty_acids_metabolism	Fatty acids-associated genes	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress; acts along with Bol3 at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to client proteins; Fe-S loaded homodimer at steady state; similar to NifU, a bacterial protein required for Fe/S cluster maturation; ortholog of the human NFU1, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS1) [Source:SGD;Acc:S000001523]
55	YKL055C	OAR1	2.34179584816457	0	0	S000001538	ORF	335321	336157	-1	837	XI	3-Oxoacyl-[Acyl-carrier-protein] Reductase	837	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase; may comprise a type II mitochondrial fatty acid synthase along with Mct1p; human homolog CBR4 complements yeast null mutant [Source:SGD;Acc:S000001538]
56	YKL085W	MDH1	2.32249618881493	0.0785654080673397	0.222216531244417	S000001568	ORF	279123	280127	1	1005	XI	Malate DeHydrogenase	1005	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated [Source:SGD;Acc:S000001568]
57	YKL094W	YJU3	3.21810609395252	0.115508393556067	0.365269612504289	S000001577	ORF	263349	264290	1	942	XI		942	fatty_acids_metabolism	Fatty acids-associated genes	Monoglyceride lipase (MGL); functional ortholog of mammalian MGL, localizes to lipid particles and membranes, also member of the eukaryotic serine hydrolase family [Source:SGD;Acc:S000001577]
58	YKL182W	FAS1	2.57341043110502	0.0874702594219449	0.19558944607701	S000001665	ORF	100671	106826	1	6156	XI	Fatty Acid Synthetase	6156	fatty_acids_metabolism	Fatty acids-associated genes	Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities [Source:SGD;Acc:S000001665]
59	YKL187C	FAT3	3.58247367460407	0.183345731423591	0.799185515004982	S000001670	ORF	89284	91536	-1	2253	XI	FATty acid transporter 3	2253	fatty_acids_metabolism	Fatty acids-associated genes	Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication [Source:SGD;Acc:S000001670]
60	YKL188C	PXA2	2.21285818222641	0.00851635453883864	0.0170327090776773	S000001671	ORF	86225	88786	-1	2562	XI	PeroXisomal ABC-transporter	2562	fatty_acids_metabolism	Fatty acids-associated genes	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant [Source:SGD;Acc:S000001671]
61	YKL192C	ACP1	3.72340259761195	0.111581604213487	0.352852014290061	S000001675	ORF	80160	80537	-1	378	XI	Acyl Carrier Protein	378	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p [Source:SGD;Acc:S000001675]
62	YKR009C	FOX2	2.39454196410775	0	0	S000001717	ORF	454352	457054	-1	2703	XI	Fatty acid OXidation	2703	fatty_acids_metabolism	Fatty acids-associated genes	3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4 [Source:SGD;Acc:S000001717]
63	YKR066C	CCP1	3.17431252642478	0.126450876037507	0.399872780402128	S000001774	ORF	566113	567198	-1	1086	XI	Cytochrome c Peroxidase	1086	fatty_acids_metabolism	Fatty acids-associated genes	Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress [Source:SGD;Acc:S000001774]
