rownames(chaperones_pan_degs_metalogFC_SD_with_description)	Genes	Feature	meta_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
11	YDR079W	PET100	2.2048780253375	0.123000814294852	0.173949419758714	S000002486	ORF	603064	603399	1	336	IV	PETite colonies	336	Chaperones	Chaperone-coding genes	Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme [Source:SGD;Acc:S000002486]
12	YDR161W	ACL4	2.53855468033454	0.525080030932581	0.74257530107614	S000002568	ORF	779043	780206	1	1164	IV	Assembly Chaperone of RpL4	1164	Chaperones	Chaperone-coding genes	Specific assembly chaperone for ribosomal protein Rpl4p; binds to an evolutionarily conserved surface extension of nascent Rpl4p and chaperones Rpl4p until its assembly into the pre-ribosome; transcriptionally co-regulated with rRNA and ribosome biosynthesis genes [Source:SGD;Acc:S000002568]
13	YDR171W	HSP42	2.70947111759935	0.0378705862684721	0.0535570967158935	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	Chaperones	Chaperone-coding genes	Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock; protein abundance increases and forms cytoplasmic foci in response to DNA replication stress [Source:SGD;Acc:S000002578]
14	YDR214W	AHA1	2.51145114052009	0.083252816270758	0.117737261875861	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	Chaperones	Chaperone-coding genes	Co-chaperone that binds Hsp82p and activates its ATPase activity; plays a role in determining prion variants; similar to Hch1p; expression is regulated by stresses such as heat shock; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002622]
15	YDR258C	HSP78	2.15978611510341	0.0537715443050915	0.0760444472260061	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	Chaperones	Chaperone-coding genes	Oligomeric mitochondrial matrix chaperone; cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates [Source:SGD;Acc:S000002666]
16	YDR375C	BCS1	2.4382202884487	0.0904691602833261	0.127942713449185	S000002783	ORF	1225166	1226536	-1	1371	IV	ubiquinol-cytochrome c reductase (bc1) Synthesis	1371	Chaperones	Chaperone-coding genes	Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in the mitochondrial inner membrane that translocates the C-terminal domain of Rip1p from the matrix across the inner membrane and delivers it to an assembly intermediate of respiratory Complex III; also required for assembly of the Qcr10p subunit; mutation is functionally complemented by human homolog BCS1L, linked to neonatal diseases [Source:SGD;Acc:S000002783]
17	YDR493W	MZM1	2.14091495883775	0.0770031753377443	0.108898934908431	S000002901	ORF	1436217	1436588	1	372	IV	Mitochondrial Zinc Maintenance	372	Chaperones	Chaperone-coding genes	Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog [Source:SGD;Acc:S000002901]
18	YEL020W-A	TIM9	3.57485061167451	0.0147172061385648	0.0208132725213988	S000007256	ORF	117211	117474	1	264	V	Translocase of the Inner Mitochondrial membrane	264	Chaperones	Chaperone-coding genes	Essential protein of the mitochondrial intermembrane space; forms a complex with Tim10p (TIM10 complex) that delivers hydrophobic proteins to the TIM22 complex for insertion into the inner membrane [Source:SGD;Acc:S000007256]
19	YEL030W	ECM10	2.31421771426425	0.126047263943988	0.178257750169609	S000000756	ORF	94644	96578	1	1935	V	ExtraCellular Mutant	1935	Chaperones	Chaperone-coding genes	Heat shock protein of the Hsp70 family; localized in mitochondrial nucleoids, plays a role in protein translocation, interacts with Mge1p in an ATP-dependent manner; overexpression induces extensive mitochondrial DNA aggregations; ECM10 has a paralog, SSC1, that arose from the whole genome duplication [Source:SGD;Acc:S000000756]
20	YER017C	AFG3	3.25418398164696	0.0934584469802946	0.132170203237859	S000000819	ORF	189503	191788	-1	2286	V	ATPase Family Gene	2286	Chaperones	Chaperone-coding genes	Mitochondrial inner membrane m-AAA protease component; mediates degradation of misfolded or unassembled proteins; also required for correct assembly of mitochondrial enzyme complexes; involved in cytoplasmic mRNA translation and aging; expression of human homolog AFG3L2 can complement yeast yta12 afg3 double mutant [Source:SGD;Acc:S000000819]
21	YER103W	SSA4	4.40543031760333	0.518174239915657	0.732809037761092	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	Chaperones	Chaperone-coding genes	Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication [Source:SGD;Acc:S000000905]
22	YFL016C	MDJ1	2.88709506588369	0.0540112881745369	0.0763834962576717	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	Chaperones	Chaperone-coding genes	Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones [Source:SGD;Acc:S000001878]
23	YGL018C	JAC1	2.04493561699658	0.00920408810635842	0.013016546229289	S000002986	ORF	459110	459664	-1	555	VII	J-type Accessory Chaperone	555	Chaperones	Chaperone-coding genes	Specialized J-protein that functions in Fe-S cluster biogenesis; functions with Hsp70 in Fe-S cluster biogenesis in mitochondria; involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix [Source:SGD;Acc:S000002986]
24	YGR132C	PHB1	2.25371874190321	0.189484626138505	0.267971728146269	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	Chaperones	Chaperone-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003364]
25	YGR231C	PHB2	3.25450973613386	0.142566383470718	0.201619313042773	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	Chaperones	Chaperone-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003463]
26	YHR064C	SSZ1	2.92990554110974	0.0450744315601972	0.0637448724286887	S000001106	ORF	225525	227141	-1	1617	VIII		1617	Chaperones	Chaperone-coding genes	Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP [Source:SGD;Acc:S000001106]
27	YJL034W	KAR2	2.80545414529654	0.152749911723071	0.21602099681006	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	Chaperones	Chaperone-coding genes	ATPase involved in protein import into the ER; also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p [Source:SGD;Acc:S000003571]
28	YJL054W	TIM54	2.64292625062668	0.164872072144558	0.233164320483389	S000003590	ORF	334265	335701	1	1437	X	Translocase of the Inner Mitochondrial membrane	1437	Chaperones	Chaperone-coding genes	Component of the mitochondrial TIM22 complex; involved in insertion of polytopic proteins into the inner membrane [Source:SGD;Acc:S000003590]
29	YJL104W	PAM16	2.173894310285	0.136095162538534	0.192467624635366	S000003640	ORF	227327	227776	1	450	X	Presequence translocase-Associated Motor	450	Chaperones	Chaperone-coding genes	Subunit of the import motor (PAM complex); the PAM complex is a component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains a J-like domain [Source:SGD;Acc:S000003640]
30	YJL143W	TIM17	2.30216835338075	0.222732037024476	0.314990667535001	S000003679	ORF	147101	147577	1	477	X	Translocase of the Inner Mitochondrial membrane	477	Chaperones	Chaperone-coding genes	Essential component of the TIM23 complex; with Tim23p, contributes to the architecture and function of the import channel; may link the import motor to the core Translocase of the Inner Mitochondrial membrane (TIM23 complex) [Source:SGD;Acc:S000003679]
31	YJR135W-A	TIM8	2.17553686114294	0.0669987658805919	0.0947505633705929	S000007348	ORF	676971	677234	1	264	X	Translocase of the Inner Mitochondrial membrane	264	Chaperones	Chaperone-coding genes	Mitochondrial intermembrane space protein; forms a complex with Tim13p that delivers a subset of hydrophobic proteins to the TIM22 complex for inner membrane insertion; homolog of human TIMM8A, implicated in Mohr-Tranebjaerg syndrome, also known as deafness-dystonia-optic neuronopathy (DDON) syndrome; human TIMM8A can complement yeast null mutant [Source:SGD;Acc:S000007348]
32	YKL117W	SBA1	6.12474275677448	0.379275062075131	0.536375936656548	S000001600	ORF	220324	220974	1	651	XI	increased Sensitivity to Benzoquinone Ansamycins	651	Chaperones	Chaperone-coding genes	Co-chaperone that binds and regulates Hsp90 family chaperones; plays a role in determining prion variants; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins, and like p23 can regulate telomerase activity; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001600]
33	YKR048C	NAP1	5.04194879597295	0.513779964165763	0.726594593398785	S000001756	ORF	525387	526640	-1	1254	XI	Nucleosome Assembly Protein	1254	Chaperones	Chaperone-coding genes	Histone chaperone; involved in histone exchange by removing and replacing histone H2A-H2B dimers or histone variant dimers from assembled nucleosomes; involved in the transport of H2A and H2B histones to the nucleus; required for the regulation of microtubule dynamics during mitosis; interacts with mitotic cyclin Clb2p; controls bud morphogenesis; phosphorylated by CK2; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001756]
34	YLL024C	SSA2	2.50803490006356	0.138593354436106	0.196000601498323	S000003947	ORF	95566	97485	-1	1920	XII	Stress-Seventy subfamily A	1920	Chaperones	Chaperone-coding genes	HSP70 family ATP-binding protein; involved in protein folding, vacuolar import of proteins; required for ubiquitin-dependent degradation of short-lived proteins; associated with chaperonin-containing T-complex; 98% identical to paralog Ssa1p with distinct functional specificity in propagation of yeast [URE3] prions and vacuolar-mediated degradation of gluconeogenesis enzymes; binds tRNA, has role in tRNA nuclear import during starvation [Source:SGD;Acc:S000003947]
35	YLL026W	HSP104	2.39979413590112	0.0254290681299243	0.0359621330278484	S000003949	ORF	88623	91349	1	2727	XII	Heat Shock Protein	2727	Chaperones	Chaperone-coding genes	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation [Source:SGD;Acc:S000003949]
36	YLR008C	PAM18	2.28182300455347	0.0974164019064094	0.137767596773632	S000003998	ORF	165577	166083	-1	507	XII	Presequence translocase-Associated Motor	507	Chaperones	Chaperone-coding genes	Subunit of the import motor (PAM complex); the PAM complex is a component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p [Source:SGD;Acc:S000003998]
37	YLR021W	IRC25	2.40515881872069	0.0268076237773482	0.0379117051209213	S000004011	ORF	183623	184162	1	540	XII	Increased Recombination Centers	540	Chaperones	Chaperone-coding genes	Component of a heterodimeric Poc4p-Irc25p chaperone; involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions; upregulates proteasome assembly in response to the unfolded protein response activated by mistargeting of proteins (UPRam) [Source:SGD;Acc:S000004011]
38	YLR216C	CPR6	2.67971938195689	0.12276575228042	0.173616991869905	S000004206	ORF	572096	573211	-1	1116	XII	Cyclosporin-sensitive Proline Rotamase	1116	Chaperones	Chaperone-coding genes	Peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; plays a role in determining prion variants; binds to Hsp82p and contributes to chaperone activity; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000004206]
39	YLR259C	HSP60	2.52743666992383	0.126211633618272	0.178490203992225	S000004249	ORF	663284	665002	-1	1719	XII	Heat Shock Protein	1719	Chaperones	Chaperone-coding genes	Tetradecameric mitochondrial chaperonin; required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated [Source:SGD;Acc:S000004249]
40	YML028W	TSA1	2.51578840068706	0.04353833389333	0.0615725022750754	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591	Chaperones	Chaperone-coding genes	Thioredoxin peroxidase; acts as both ribosome-associated and free cytoplasmic antioxidant; self-associates to form high-molecular weight chaperone complex under oxidative stress; chaperone activity essential for growth in zinc deficiency; required for telomere length maintenance; binds and modulates Cdc19p activity; protein abundance increases, forms cytoplasmic foci during DNA replication stress; TSA1 has a paralog, TSA2, that arose from the whole genome duplication [Source:SGD;Acc:S000004490]
41	YMR038C	CCS1	4.3592407757161	0.534938076804333	0.756516683246468	S000004641	ORF	347511	348260	-1	750	XIII	Copper Chaperone for SOD1	750	Chaperones	Chaperone-coding genes	Copper chaperone for superoxide dismutase Sod1p; involved in oxidative stress protection; Met-X-Cys-X2-Cys motif within N-terminus is involved in insertion of copper into Sod1p under conditions of copper deprivation; required for regulation of yeast copper genes in response to DNA-damaging agents; protein abundance increases in response to DNA replication stress; human homolog CCS can complement yeast ccs1 null mutant [Source:SGD;Acc:S000004641]
42	YMR322C	SNO4	2.91282136531879	0.085489779616176	0.120900805777483	S000004941	ORF	918366	919079	-1	714	XIII	SNZ proximal Open reading frame	714	Chaperones	Chaperone-coding genes	Possible chaperone and cysteine protease; required for transcriptional reprogramming during the diauxic shift and for survival in stationary phase; similar to bacterial Hsp31 and yeast Hsp31p, Hsp32p, and Hsp33p; DJ-1/ThiJ/PfpI superfamily member; predicted involvement in pyridoxine metabolism; induced by mild heat stress and copper deprivation [Source:SGD;Acc:S000004941]
43	YNL070W	TOM7	2.23379284020421	0.0368884522695678	0.0521681494945754	S000005014	ORF	493366	493548	1	183	XIV	Translocase of the Outer Mitochondrial membrane	183	Chaperones	Chaperone-coding genes	Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex [Source:SGD;Acc:S000005014]
44	YNL206C	RTT106	2.1934471220225	0.0380347185788092	0.053789214855196	S000005150	ORF	256788	258155	-1	1368	XIV	Regulator of Ty1 Transposition	1368	Chaperones	Chaperone-coding genes	Histone chaperone; involved in regulation of chromatin structure in both transcribed and silenced chromosomal regions; affects transcriptional elongation; has a role in regulation of Ty1 transposition; interacts physically and functionally with Chromatin Assembly Factor-1 (CAF-1) [Source:SGD;Acc:S000005150]
45	YNL209W	SSB2	2.69777279776363	0.0217570243665681	0.0307690789360825	S000005153	ORF	252059	253900	1	1842	XIV	Stress-Seventy subfamily B	1842	Chaperones	Chaperone-coding genes	Cytoplasmic ATPase that is a ribosome-associated molecular chaperone; functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; SSB2 has a paralog, SSB1, that arose from the whole genome duplication [Source:SGD;Acc:S000005153]
46	YNL246W	VPS75	2.09595960781012	0.00780962404281427	0.0110444762383829	S000005190	ORF	185460	186349	1	890	XIV	Vacuolar Protein Sorting	890	Chaperones	Chaperone-coding genes	NAP family histone chaperone; binds to histones and Rtt109p, stimulating histone acetyltransferase activity; possesses nucleosome assembly activity in vitro; proposed role in vacuolar protein sorting and in double-strand break repair; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000005190]
47	YNL281W	HCH1	2.92963014626413	0.456015172667246	0.644902841833928	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462	Chaperones	Chaperone-coding genes	Heat shock protein regulator; binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of-function mutation; role in regulating Hsp90 inhibitor drug sensitivity; GFP-fusion protein localizes to the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005225]
48	YNL310C	ZIM17	2.76695058950684	0.45860376097008	0.648563658519197	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	Chaperones	Chaperone-coding genes	Protein co-chaperone with a zinc finger motif; essential for protein import into mitochondria; may act with Pam18p to facilitate recognition and folding of imported proteins by Ssc1p (mtHSP70) in the mitochondrial matrix; required for the maintenance of Ssc1p solubility and assists in the functional interaction of Ssc1p with substrate proteins [Source:SGD;Acc:S000005254]
49	YNL328C	MDJ2	2.45298584124478	0.0781261567251681	0.110487070416819	S000005272	ORF	22834	23274	-1	441	XIV	Mitochondrial DnaJ homolog	441	Chaperones	Chaperone-coding genes	Constituent of the mitochondrial import motor; associated with the presequence translocase; function overlaps with that of Pam18p; stimulates the ATPase activity of Ssc1p to drive mitochondrial import; contains a J domain [Source:SGD;Acc:S000005272]
50	YOR045W	TOM6	2.79838319907486	0.0539063971287843	0.0762351579181968	S000005571	ORF	413852	414037	1	186	XV	Translocase of the Outer Mitochondrial membrane	186	Chaperones	Chaperone-coding genes	Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex [Source:SGD;Acc:S000005571]
51	YPL098C	MGR2	3.49094531651452	0.581999895315173	0.82307214525444	S000006019	ORF	364386	364727	-1	342	XVI	Mitochondrial Genome Required	342	Chaperones	Chaperone-coding genes	Subunit of the TIM23 translocase complex; acts to couple Tim21p with the core Tim23 translocase; provides quality control for insertion of membrane proteins by regulating their release into the inner membrane by the TIM23 complex; absolutely required for mitochondrial import of presequence-containing proteins at elevated temperature; required for viability of cells lacking the mitochondrial genome (petite-negative phenotype) [Source:SGD;Acc:S000006019]
52	YPL131W	RPL5	3.38370173440091	0.22611401936379	0.319773512826965	S000006052	ORF	303121	304014	1	894	XVI	Ribosomal Protein of the Large subunit	894	Chaperones	Chaperone-coding genes	Ribosomal 60S subunit protein L5; nascent Rpl5p is bound by specific chaperone Syo1p during translation; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is required for 60S subunit assembly [Source:SGD;Acc:S000006052]
53	YPL240C	HSP82	2.33928605711688	0.0795701033325677	0.112529119292346	S000006161	ORF	96496	98625	-1	2130	XVI	Heat Shock Protein	2130	Chaperones	Chaperone-coding genes	Hsp90 chaperone; redundant in function with Hsc82p; required for pheromone signaling, negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; protein abundance increases in response to DNA replication stress; contains two acid-rich unstructured regions that promote solubility of chaperone-substrate complexes; HSP82 has a paralog, HSC82, that arose from the whole genome duplication [Source:SGD;Acc:S000006161]
54	YPR024W	YME1	2.95458136139581	0.0260981513663987	0.036908359615227	S000006228	ORF	610481	612724	1	2244	XVI	Yeast Mitochondrial Escape	2244	Chaperones	Chaperone-coding genes	Catalytic subunit of i-AAA protease complex; complex is located in mitochondrial inner membrane; responsible for degradation of unfolded or misfolded mitochondrial gene products; serves as nonconventional translocation motor to pull PNPase into intermembrane space; also has role in intermembrane space protein folding; mutation causes elevated rate of mitochondrial turnover; human homolog YME1L1 can complement yeast null mutant [Source:SGD;Acc:S000006228]
