rownames(proteostasis_pan_degs_metalogFC_SD_with_description)	Genes	Feature	meta_logFC	SE	SD	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Associated_process	Condition	Description
11	YDR304C	CPR5	5.23477983350724	0.167797866546457	0.23730201860727	S000002712	ORF	1071880	1072557	-1	678	IV	Cyclosporin-sensitive Proline Rotamase	678	unfolded_protein_response	Proteostasis-coding genes	Peptidyl-prolyl cis-trans isomerase (cyclophilin) of the ER; catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; transcriptionally induced in response to unfolded proteins in the ER; CPR5 has a paralog, CPR2, that arose from the whole genome duplication [Source:SGD;Acc:S000002712]
12	YER083C	GET2	2.70318330952318	0.123402719269915	0.174517799225233	S000000885	ORF	326174	327031	-1	858	V	Guided Entry of Tail-anchored proteins	858	TCR_GET_complex	Proteostasis-coding genes	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division [Source:SGD;Acc:S000000885]
13	YER089C	PTC2	3.6044554937883	1.36891470338046	1.93593773925259	S000000891	ORF	335946	337340	-1	1395	V	Phosphatase Two C	1395	unfolded_protein_response	Proteostasis-coding genes	Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p to limit maximal osmostress induced kinase activity; dephosphorylates Ire1p to downregulate the unfolded protein response; dephosphorylates Cdc28p; inactivates the DNA damage checkpoint; PTC2 has a paralog, PTC3, that arose from the whole genome duplication [Source:SGD;Acc:S000000891]
14	YER103W	SSA4	4.40543031760333	0.518174239915657	0.732809037761092	S000000905	ORF	364589	366517	1	1929	V	Stress-Seventy subfamily A	1929	unfolded_protein_response	Proteostasis-coding genes	Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication [Source:SGD;Acc:S000000905]
15	YFL016C	MDJ1	2.88709506588369	0.0540112881745369	0.0763834962576717	S000001878	ORF	104701	106236	-1	1536	VI	Mitochondrial DnaJ	1536	unfolded_protein_response	Proteostasis-coding genes	Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones [Source:SGD;Acc:S000001878]
16	YFL038C	YPT1	3.3282612425304	0.135653596582348	0.191843156071444	S000001856	ORF	55366	55986	-1	621	VI	Yeast Protein Two	621	unfolded_protein_response	Proteostasis-coding genes	Rab family GTPase; involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by type II protein geranylgeranyltransferase (Bet2p-Bet4p); binds to unspliced HAC1 mRNA; regulates the unfolded protein response (UPR) by promoting the decay of HAC1 RNA; localizes to the early Golgi, the transitional Golgi and ER membranes, pre-autophagosomal structures, and cytoplasmic vesicles [Source:SGD;Acc:S000001856]
17	YFL044C	OTU1	2.37339172333999	0.131664124209024	0.186201190134378	S000001850	ORF	44655	45560	-1	906	VI	Ovarian TUmor	906	unfolded_protein_response	Proteostasis-coding genes	Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p; may contribute to regulation of protein degradation by deubiquitylating substrates that have been ubiquitylated by Ufd2p; member of the Ovarian Tumor (OTU) family; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001850]
18	YGL020C	GET1	2.42266971699931	0.0135898307174447	0.0192189229109648	S000002988	ORF	457163	457870	-1	708	VII	Guided Entry of Tail-anchored proteins	708	TCR_GET_complex	Proteostasis-coding genes	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance [Source:SGD;Acc:S000002988]
19	YGR132C	PHB1	2.25371874190321	0.189484626138505	0.267971728146269	S000003364	ORF	755589	756452	-1	864	VII	ProHiBitin	864	unfolded_protein_response	Proteostasis-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003364]
20	YGR231C	PHB2	3.25450973613386	0.142566383470718	0.201619313042773	S000003463	ORF	952548	953480	-1	933	VII	ProHiBitin	933	unfolded_protein_response	Proteostasis-coding genes	Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR) [Source:SGD;Acc:S000003463]
21	YJL034W	KAR2	2.80545414529654	0.152749911723071	0.21602099681006	S000003571	ORF	381327	383375	1	2049	X	KARyogamy	2049	unfolded_protein_response	Proteostasis-coding genes	ATPase involved in protein import into the ER; also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p [Source:SGD;Acc:S000003571]
22	YJL117W	PHO86	2.22239989615383	0.09598921973342	0.135749256388614	S000003653	ORF	192531	193466	1	936	X	PHOsphate metabolism	936	unfolded_protein_response	Proteostasis-coding genes	Endoplasmic reticulum (ER) resident protein; required for ER exit of the high-affinity phosphate transporter Pho84p, specifically required for packaging of Pho84p into COPII vesicles; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000003653]
23	YKL117W	SBA1	6.12474275677448	0.379275062075131	0.536375936656548	S000001600	ORF	220324	220974	1	651	XI	increased Sensitivity to Benzoquinone Ansamycins	651	unfolded_protein_response	Proteostasis-coding genes	Co-chaperone that binds and regulates Hsp90 family chaperones; plays a role in determining prion variants; important for pp60v-src activity in yeast; homologous to the mammalian p23 proteins, and like p23 can regulate telomerase activity; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001600]
24	YLL026W	HSP104	2.39979413590112	0.0254290681299243	0.0359621330278484	S000003949	ORF	88623	91349	1	2727	XII	Heat Shock Protein	2727	TCR_GET_complex	Proteostasis-coding genes	Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation [Source:SGD;Acc:S000003949]
25	YLR021W	IRC25	2.40515881872069	0.0268076237773482	0.0379117051209213	S000004011	ORF	183623	184162	1	540	XII	Increased Recombination Centers	540	unfolded_protein_response	Proteostasis-coding genes	Component of a heterodimeric Poc4p-Irc25p chaperone; involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions; upregulates proteasome assembly in response to the unfolded protein response activated by mistargeting of proteins (UPRam) [Source:SGD;Acc:S000004011]
26	YLR216C	CPR6	2.67971938195689	0.12276575228042	0.173616991869905	S000004206	ORF	572096	573211	-1	1116	XII	Cyclosporin-sensitive Proline Rotamase	1116	unfolded_protein_response	Proteostasis-coding genes	Peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; plays a role in determining prion variants; binds to Hsp82p and contributes to chaperone activity; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000004206]
27	YLR350W	ORM2	4.06146346319645	0.121395889925206	0.171679713948578	S000004342	ORF	828730	829380	1	651	XII		651	unfolded_protein_response	Proteostasis-coding genes	Protein that mediates sphingolipid homeostasis; evolutionarily conserved, required for resistance to agents that induce unfolded protein response; Orm1p and Orm2p together control membrane biogenesis by coordinating lipid homeostasis with protein quality control; protein abundance increases in response to DNA replication stress; ORM2 has a paralog, ORM1, that arose from the whole genome duplication [Source:SGD;Acc:S000004342]
28	YML007W	YAP1	2.13335708753896	0.127618162833592	0.180479336684403	S000004466	ORF	253848	255800	1	1953	XIII	Yeast AP-1	1953	unfolded_protein_response	Proteostasis-coding genes	Basic leucine zipper (bZIP) transcription factor; required for oxidative stress tolerance; activated by H2O2 through the multistep formation of disulfide bonds and transit from the cytoplasm to the nucleus; Yap1p is degraded in the nucleus after the oxidative stress has passed; mediates resistance to cadmium; relative distribution to the nucleus increases upon DNA replication stress; YAP1 has a paralog, CAD1, that arose from the whole genome duplication [Source:SGD;Acc:S000004466]
29	YML028W	TSA1	2.51578840068706	0.04353833389333	0.0615725022750754	S000004490	ORF	220138	220728	1	591	XIII	Thiol-Specific Antioxidant	591	unfolded_protein_response	Proteostasis-coding genes	Thioredoxin peroxidase; acts as both ribosome-associated and free cytoplasmic antioxidant; self-associates to form high-molecular weight chaperone complex under oxidative stress; chaperone activity essential for growth in zinc deficiency; required for telomere length maintenance; binds and modulates Cdc19p activity; protein abundance increases, forms cytoplasmic foci during DNA replication stress; TSA1 has a paralog, TSA2, that arose from the whole genome duplication [Source:SGD;Acc:S000004490]
30	YNL209W	SSB2	2.69777279776363	0.0217570243665681	0.0307690789360825	S000005153	ORF	252059	253900	1	1842	XIV	Stress-Seventy subfamily B	1842	unfolded_protein_response	Proteostasis-coding genes	Cytoplasmic ATPase that is a ribosome-associated molecular chaperone; functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; SSB2 has a paralog, SSB1, that arose from the whole genome duplication [Source:SGD;Acc:S000005153]
31	YNL281W	HCH1	2.92963014626413	0.456015172667246	0.644902841833928	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462	unfolded_protein_response	Proteostasis-coding genes	Heat shock protein regulator; binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of-function mutation; role in regulating Hsp90 inhibitor drug sensitivity; GFP-fusion protein localizes to the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005225]
32	YNL310C	ZIM17	2.76695058950684	0.45860376097008	0.648563658519197	S000005254	ORF	51907	52431	-1	525	XIV	ZInc finger Motif protein of 17 kDa	525	unfolded_protein_response	Proteostasis-coding genes	Protein co-chaperone with a zinc finger motif; essential for protein import into mitochondria; may act with Pam18p to facilitate recognition and folding of imported proteins by Ssc1p (mtHSP70) in the mitochondrial matrix; required for the maintenance of Ssc1p solubility and assists in the functional interaction of Ssc1p with substrate proteins [Source:SGD;Acc:S000005254]
33	YOR007C	SGT2	2.12277381013652	0.0144589420693635	0.0204480319720607	S000005533	ORF	338938	339978	-1	1041	XV	Small Glutamine-rich Tetratricopeptide repeat-containing protein	1041	TCR_GET_complex	Proteostasis-coding genes	Glutamine-rich cytoplasmic cochaperone; serves as a scaffold bringing together Get4, Get5p, and other TRC complex members that are required to mediate posttranslational insertion of tail-anchored proteins into the ER membrane; interacts with the prion domain of Sup35p; amyloid sensor; plays a role in targeting chaperones to prion aggregates; similar to human cochaperone SGT; forms cytoplasmic foci upon DNA replication stress [Source:SGD;Acc:S000005533]
34	YOR164C	GET4	2.66557956973612	0.126190174767168	0.178459856593961	S000005690	ORF	643394	644332	-1	939	XV	Guided Entry Tail-anchored proteins	939	TCR_GET_complex	Proteostasis-coding genes	Protein involved in inserting tail-anchored proteins into ER membranes; forms a complex with Mdy2p; highly conserved across species and homologous to human gene C7orf20 [Source:SGD;Acc:S000005690]
35	YPL240C	HSP82	2.33928605711688	0.0795701033325677	0.112529119292346	S000006161	ORF	96496	98625	-1	2130	XVI	Heat Shock Protein	2130	unfolded_protein_response	Proteostasis-coding genes	Hsp90 chaperone; redundant in function with Hsc82p; required for pheromone signaling, negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding, nucleotide addition; protein abundance increases in response to DNA replication stress; contains two acid-rich unstructured regions that promote solubility of chaperone-substrate complexes; HSP82 has a paralog, HSC82, that arose from the whole genome duplication [Source:SGD;Acc:S000006161]
36	YPR095C	SYT1	2.62937430593823	0.00269442493823102	0.0038104922904426	S000006299	ORF	721037	724717	-1	3681	XVI	Suppressor of ypt3	3681	unfolded_protein_response	Proteostasis-coding genes	Guanine nucleotide exchange factor (GEF) for Arf proteins; promotes activation of Arl1p, which recruits Imh1p to the Golgi; involved in vesicular transport; member of the Sec7-domain family; contains a PH domain [Source:SGD;Acc:S000006299]
